restaurant_name,restaurant_url,menu_name,menu_type,section,name,description,price
Taverna Novo,https://www.tavernanovo.com/,Fall and Winter Menu,Fall and Winter Menu,Appetizers,LOADED TATER TOTS,"Crispy tater tots topped with melted cheddar cheese, bacon bits, sour cream & green onions.",$13
Taverna Novo,https://www.tavernanovo.com/,Fall and Winter Menu,Fall and Winter Menu,Appetizers,HOUSE MADE SOUP OF THE DAY,Daily selection of fresh soups,Small $5 | Large $7
Taverna Novo,https://www.tavernanovo.com/,Fall and Winter Menu,Fall and Winter Menu,Salads,CHICKEN CAESAR SALAD,"Crisp romaine lettuce tossed in caesar dressing with grilled chicken, croutons & parmesan cheese.",$13
Taverna Novo,https://www.tavernanovo.com/,Fall and Winter Menu,Fall and Winter Menu,Salads,FALL HARVEST SALAD,"Mixed greens tossed in cranberry vinaigrette with grilled chicken, sliced pears, goat cheese & candied pecans.",$14
Taverna Novo,https://www.tavernanovo.com/,Fall and Winter Menu,Fall and Winter Menu,Entrees,SPICY BLACK BEAN BURGER,"House made black bean burger on a toasted bun with mixed greens, tomato & red onion. Served with a side of southwest ranch.",$13
Taverna Novo,https://www.tavernanovo.com/,Fall and Winter Menu,Fall and Winter Menu,Entrees,GRILLED CHEESE & SOUP,Gooey grilled cheese sandwich made with cheddar cheese & served with a cup of our house made soup of the day.,$12
Taverna Novo,https://www.tavernanovo.com/,Fall and Winter Menu,Fall and Winter Menu,Entrees,CHICKEN BACON RANCH WRAP,"Grilled chicken, crispy bacon, cheddar cheese, lettuce, tomato & ranch dressing in a warm wrap.",$13
Taverna Novo,https://www.tavernanovo.com/,Fall and Winter Menu,Fall and Winter Menu,Sandwiches,COLD SANDWICH,"Choice of roasted turkey, roast beef, ham, chicken salad, or corned beef, comes with cheese. Add-ons: with lettuce, tomato, & onion | Small $7 Large $10 / with cheese | Small $6 Large $8","6"" Sub or Bread $8 | 12"" Sub or Wrap $13"
Taverna Novo,https://www.tavernanovo.com/,Fall and Winter Menu,Fall and Winter Menu,Menu,Fall and Winter Menu,,
Taverna Novo,https://www.tavernanovo.com/,Fall and Winter Menu,Fall and Winter Menu,Sandwiches,Cold Sandwich,"Choice of roasted turkey, roast beef, ham, chicken salad, or corned beef, comes with cheese. Add-ons: with cheese | Small $6 Large $8 / with lettuce, tomato, & onion | Small $7 Large $10","6"" Sub or Bread $8 | 12"" Sub or Wrap $13"
Taverna Novo,https://www.tavernanovo.com/,Craft Cocktail Offerings,Cocktails,Craft Cocktail Offerings,French 75,"Tanqueray gin, lemon juice, simple syrup, topped with La Marca prosecco",$13
Taverna Novo,https://www.tavernanovo.com/,Craft Cocktail Offerings,Cocktails,Craft Cocktail Offerings,Dark 'n' Stormy,"Gosling's Black Seal rum & ginger beer, served with a lime wedge",$12
Taverna Novo,https://www.tavernanovo.com/,Craft Cocktail Offerings,Cocktails,Craft Cocktail Offerings,Manhattan,"Bulleit Rye whiskey, Martini & Rossi sweet vermouth, Angostura bitters, served with a Luxardo cherry",$14
Taverna Novo,https://www.tavernanovo.com/,Craft Cocktail Offerings,Cocktails,Craft Cocktail Offerings,Paloma,"Casamigos Blanco tequila, grapefruit soda, lime juice",$13
Taverna Novo,https://www.tavernanovo.com/,Craft Cocktail Offerings,Cocktails,Craft Cocktail Offerings,Espresso Martini,"Absolut vodka, Kahlua, fresh espresso",$14
Taverna Novo,https://www.tavernanovo.com/,Craft Cocktail Offerings,Cocktails,Craft Cocktail Offerings,Aperol Spritz,"Aperol, La Marca prosecco, soda water, served with an orange slice",$12
Taverna Novo,https://www.tavernanovo.com/,Craft Cocktail Offerings,Cocktails,Winter Cocktail Features,WİNTER OF OUR DİSCONTENT,"TOMMYROTTER BOURBON, APEROL, AMARO NONINO, LEMON",$15
Taverna Novo,https://www.tavernanovo.com/,Craft Cocktail Offerings,Cocktails,Winter Cocktail Features,FERNET ABOUT IT,"SAZERAC RYE, FERNET BRANCA, GİNGER ALE, SPICED CHERRY BİTTERS",$15
Taverna Novo,https://www.tavernanovo.com/,Craft Cocktail Offerings,Cocktails,Winter Cocktail Features,LA VIE EN BLANCHE,"GREY GOOSE, WHİTE CRANBERRY, FRESH LIME, ORANGE LIQUEUR, ST. GERMAİN",$15
Taverna Novo,https://www.tavernanovo.com/,Craft Cocktail Offerings,Cocktails,Winter Cocktail Features,THIS IS JUST TO SAY...,"GREY GOOSE, UME PLUM LIQUEUR, LEMON, ORANGE LIQUEUR, CHERRY",$15
Taverna Novo,https://www.tavernanovo.com/,Craft Cocktail Offerings,Cocktails,Winter Cocktail Features,THYME WAITS FOR SNOWMAN,"BARR HİLL GİN, LEMON WASH, THYME LİQUEUR, HONEY",$15
Taverna Novo,https://www.tavernanovo.com/,Craft Cocktail Offerings,Cocktails,Winter Cocktail Features,STOPPING BY WOODS,"PİNHOOK BOURBON, NOCINO WALNUT LIQUEUR, SWEET VERMOUTH, SPICED CRANBERRY BİTTERS",$15
Taverna Novo,https://www.tavernanovo.com/,Craft Cocktail Offerings,Cocktails,Winter Cocktail Features,WİNTER AND SMOKE,"KNOB CREEK SMOKED MAPLE BOURBON, ANGOSTURA BİTTERS, AMARENA CHERRY, ORANGE",$15
Taverna Novo,https://www.tavernanovo.com/,Craft Cocktail Offerings,Cocktails,Winter Cocktail Features,THE WINTER PEAR,"818 REPOSADO, FRESH LIME, SPICED PEAR LİQUEUR, PEAR NECTAR",$15
Taverna Novo,https://www.tavernanovo.com/,Craft Cocktail Offerings,Cocktails,Winter Cocktail Features,SPRITZ AND SPARKLE,"HEMINGWAY: THE ORİGİNAL BELLİNİ
PEACH MELBA: PROSCCO, WHITE PEACH NECTAR, FRAMBOISE
TAVERNA TONİC: CAMPARİ, GRAPEFRUIT, BLOOD ORANGE LİQUEUR, PROSECCO
ORİGİNAL SPRİTZ: APEROL, PROSECCO, CLUB, ORANGE",$14
Taverna Novo,https://www.tavernanovo.com/,Craft Cocktail Offerings,Cocktails,ESPRESSİONS,TIRAMISU ME,"VANILLA VODKA, ESPRESSO LİQUEUR, TİRAMİSU LİQUEUR, MELETTİ CHOCOLATE, FRESHLY BREWED ESPRESSO",$15
Taverna Novo,https://www.tavernanovo.com/,Craft Cocktail Offerings,Cocktails,ESPRESSİONS,SHOT IN THE DARK,"TITO'S, ESPRESSO LIQUEUR, FRESHLY BREWED ESPRESSO",$15
Taverna Novo,https://www.tavernanovo.com/,Craft Cocktail Offerings,Cocktails,ESPRESSİONS,CRÈME BRULÉE,"VANILLA VODKA, CRÈME BRULÉE LİQUEUR, FRESHLY BREWED ESPRESSO",$15
Taverna Novo,https://www.tavernanovo.com/,Craft Cocktail Offerings,Cocktails,FAUXTAİLS,BUZZKİLL,"FRESHLY BREWED ESPRESSO, N/A COFFEE LIQUEUR, CREAM",$13
Taverna Novo,https://www.tavernanovo.com/,Craft Cocktail Offerings,Cocktails,FAUXTAİLS,WHISKEY A NO-GO,"RITUAL ZERO PROOF WHISKEY, ANGOSTURA ORANGE BİTTERS, ORANGE, SİMPLE SYRUP",$13
Taverna Novo,https://www.tavernanovo.com/,Craft Cocktail Offerings,Cocktails,FAUXTAİLS,WHAT DOESN'T TEQUILA YOU,"RITUAL ZERO PROOF TEQUILA, FRESH LIME, FEVER TREE SPARKLING BLOOD ORANGE",$13
Taverna Novo,https://www.tavernanovo.com/,Craft Cocktail Offerings,Cocktails,FAUXTAİLS,RESOLUTION SOLUTION,"N/A SPARKLING WHİTE TEA, PEAR NECTAR, CRANBERRY",$13
Taverna Novo,https://www.tavernanovo.com/,Craft Cocktail Offerings,Cocktails,FAUXTAİLS,FAUXGRONİ,ST. AGRESTIS ORIGINAL PHONY WHITE NEGRONI,$13
Taverna Novo,https://www.tavernanovo.com/,Craft Cocktail Offerings,Cocktails,FAUXTAİLS,SKINNY SPRITZ,AN N/A VERSION OF THE APEROL SPRITZ!,$13
Taverna Novo,https://www.tavernanovo.com/,Wine and Beer Offerings,Wine and Beer,WINES BY THE GLASS,"ZARDETTO, Prosecco Brut Private Cuvée, Veneto, NV (91JS)",,$14
Taverna Novo,https://www.tavernanovo.com/,Wine and Beer Offerings,Wine and Beer,WINES BY THE GLASS,"ST. SUPERY, Sauvignon Blanc, California, Napa Valley, 2023 (93WE/91WS)",,$14
Taverna Novo,https://www.tavernanovo.com/,Wine and Beer Offerings,Wine and Beer,WINES BY THE GLASS,"CAPOSALDO, Pinot Grigio, Italy, Veneto, 2023",,$14
Taverna Novo,https://www.tavernanovo.com/,Wine and Beer Offerings,Wine and Beer,WINES BY THE GLASS,"GRAN PASSIONE, Red Blend, Italy, Veneto, 2022",,$14
Taverna Novo,https://www.tavernanovo.com/,Wine and Beer Offerings,Wine and Beer,WINES BY THE GLASS,"PAOLO SARACCO, Moscato d'Asti, Italy, Piedmont, 2024","orange blossoms, ruby grapefruit, vanilla, hints of wild herbs..layers of fruit in harmony with juicy acidity and a hint of spice..this is the bottle i pour for my wine students! (94WE)",$14/48
Taverna Novo,https://www.tavernanovo.com/,Wine and Beer Offerings,Wine and Beer,WINES BY THE GLASS,"SELLA & MOSCA, Vermentino di Gallura, ""MONTEORO"", Italy, Sardinia, 2023","fresh as a daisy and crisp as an ocean breeze on a summer's day....notes of bright citrus, white pepper and a salinity that speaks of its homeland sardinia, surrounded by the sea...a benchmark for the category...you will find it a delicious starter sipper or to pair with lighter fare and seafood.",$15/50
Taverna Novo,https://www.tavernanovo.com/,Wine and Beer Offerings,Wine and Beer,WINES BY THE GLASS,"ABBAZIA DI NOVACELLA, Grüner Veltliner, Italy, Alto Adige, 2023","a rare gru-v from the alpine climes of northern italy...makes sense, really, as it is usually grown in austria and the alto adige region shares many climatic similarities...gruner veltliner finds itself very much at home with fall flavors...it is smooth and savory with typical notes of stone fruit, white pepper and nutmeg...it's GRU-V, baby...GRU-V. (93WA/90JS)",$15/50
Taverna Novo,https://www.tavernanovo.com/,Wine and Beer Offerings,Wine and Beer,WINES BY THE GLASS,"SONOMA-CUTRER, Chardonnay, Russian River Ranches, California, Sonoma, 2023",great balance between zesty and creamy...a ripe and buttery palate but with ample salinity and bright tropical and citrus fruits to hold everything in perfect harmony...a zingy beam of lemon curd on the finish. (91JS),$15/50
Taverna Novo,https://www.tavernanovo.com/,Wine and Beer Offerings,Wine and Beer,WINES BY THE GLASS,"POSTMARK BY DUCKHORN, Cabernet Sauvignon, California, Paso Robles, 2022","paso robles cabs have legions of fans...this example is proof positive of the allure of paso...rich and generous with a palate full of boysenberry, plum and black raspberry jam...a touch of vanilla scented spice on the finish adds to the appeal of this voluptuous vamp. (93JS)",$15/50
Taverna Novo,https://www.tavernanovo.com/,Wine and Beer Offerings,Wine and Beer,WINES BY THE GLASS,"BLUE ROCK VINEYARDS, Baby Blue Red, California, Sonoma, 2021","i am often asked what we sip at home...you know, just on a let's grill some burgers kind of evening...this is often the answer to that question...primarily cabernet sauvignon but pays homage to bordeaux incorporating all 5 classic bordeaux varietals in the blend...it just checks all the boxes and we hope you love it as much as we do. (92WE/90JS)",$19/70
Taverna Novo,https://www.tavernanovo.com/,Wine and Beer Offerings,Wine and Beer,WINES BY THE GLASS,"ARGIANO, Rosso Toscana ""Non Confunditur"", Italy, Toscana, 2023","latin for unique and unmistakable, this ""superbaby"" offers delicious currant and red fruits; approachable, fresh and lively..sangiovese, cabernet sauvignon and merlot..absolutely fabulous..surprisingly hard to get your hands on and a stunning value. (92JS)",$15/50
Taverna Novo,https://www.tavernanovo.com/,Wine and Beer Offerings,Wine and Beer,WINES BY THE GLASS,"AZELIA, Langhe Nebbiolo, Italy, Piedmont, 2022","literally baby barolo, as the grapes come from azelia's barolo vineyards...this nebbiolo displays such purity and brightness on the nose and palate..wild roses, so typical of the varietal, are there in spades and the finish is luminous..zesty acidity and fully ripe tannins on display. (91DC)",$17/60
Taverna Novo,https://www.tavernanovo.com/,Wine and Beer Offerings,Wine and Beer,WINES BY THE GLASS,"CASTELLO DI VERRAZZANO, Chianti Classico, Italy, Tuscany, 2021","certified organic and sustainable..one of the founding members of the consorzio del chianti classico, castello di verrazzano has produced wine for centuries..rich in flavors of blackberry and amarena cherry..incredible balance and structure..this is an outstanding wine. (92VM/91WA)",$16/55
Taverna Novo,https://www.tavernanovo.com/,Wine and Beer Offerings,Wine and Beer,WINES BY THE GLASS,"LUCE DELLE VITE, ""Lucente"", Super Tuscan, Italy, Tuscany, 2021",this baby super tuscan has always been a favorite..bright cherry fruits with notes of smoke and dark red fruits..marvelous acidity makes this an exceptional food wine..nobody puts THIS baby in the corner. (94JS/9OWA),$18/65
Taverna Novo,https://www.tavernanovo.com/,Wine and Beer Offerings,Wine and Beer,THE BUBBLES,"CIPRIANI, Prosecco DOC, Brut, Italy, Veneto, NV",from THE birthplace of prosecco and the original bellini at harry's bar in venice comes this super sippable sparkler...fine effervescence and perlage...dry with hints of citrus zest and almond skin...quite sippable on its own and positively perfect with calamari fritti.,$15/50
Taverna Novo,https://www.tavernanovo.com/,Wine and Beer Offerings,Wine and Beer,THE BUBBLES,"BISOL, Desiderio Relio Rive di Guia Brut Valdobbiadene Prosecco Superiore, Italy, Veneto, 2023","estate grown, single vineyard prosecco from on of the most famous producers of the wine...an elegant mousse..notes of crisp, granny smith apples and citrus..fresh, light and lively on the palate..a delightful sip with a lime zest tinged finish. (90WS)",$85
Taverna Novo,https://www.tavernanovo.com/,Wine and Beer Offerings,Wine and Beer,THE BUBBLES,"FERRARI, Brut Rosé, Italy, Trentino-Alto Adige DOC, NV","salmon pink in the glass with aromas of wild strawberries, hints of almond skin and ginger spice...well balanced, fresh and FUN. (92JS/90WA/90WS/90WE)",$14/glass 32/half bottle/65 full bottle
Taverna Novo,https://www.tavernanovo.com/,Wine and Beer Offerings,Wine and Beer,THE BUBBLES,"CA' DEL BOSCO, Franciacorta, ""Cuvée Prestige"" Italy, Lombardia, NV","this is OMG good...crafted from certified organic pinot noir, chardonnay and pinot bianco grapes...an intense golden hue with a nose filled with ripe peach and vanilla laced fbiscuits...ca' del bosco is one of the foremost producers of franciacorta, italian for ""champagne"". (92WS)",$100
Taverna Novo,https://www.tavernanovo.com/,Wine and Beer Offerings,Wine and Beer,THE BUBBLES,"LINI 910 Labrusca Rosso, Italy, Emilia-Romagna, N/V","emilia-romagna is the gastronomic capital of italy, where you will find some of the most iconic foods of italy..prosciutto di parma, to name one...as such, this slightly dry lambrusco finds itself most at home with cured meats and is a delightful pizza partner.",$12/45
