restaurant_name,restaurant_url,section,name,description,price
The Coat Room,https://thecoatroom.com/menus/,Dinner - Large Plates,8 oz Filet Mignon,Lyonnaise Potatoes | Brussels Sprouts | Cognac Demi-Glace | Pink Peppercorns,$68.00
The Coat Room,https://thecoatroom.com/menus/,Dinner - Large Plates,Chilean Sea Bass,,$42.00
The Coat Room,https://thecoatroom.com/menus/,Dinner - Large Plates,Gnocchi,Fresh Pasta | Fennel Sausage | Spinach,$32.00
The Coat Room,https://thecoatroom.com/menus/,Dinner - Large Plates,Chicken Au Reisling,Cod Loin | Swiss Chard | Basmati Rice,$38.00
The Coat Room,https://thecoatroom.com/menus/,Dinner - Large Plates,Pork Chop,Whole Grain Mustard | Spring Vegetables | Pea Puree | Grilled Scallions,$38.00
The Coat Room,https://thecoatroom.com/menus/,Dinner - Large Plates,Strip Steak,,$55.00
The Coat Room,https://thecoatroom.com/menus/,Dinner - Large Plates,Kids Food,,$68.00
The Coat Room,https://thecoatroom.com/menus/,Dinner - Large Plates,Chicken Milanese,,$38.00
The Coat Room,https://thecoatroom.com/menus/,Dinner - Large Plates,Rooftop Burger,,$25.00
The Coat Room,https://thecoatroom.com/menus/,Dinner - Small Plates,Garlic Shrimp,,$19.00
The Coat Room,https://thecoatroom.com/menus/,Dinner - Small Plates,Burrata,,$18.00
The Coat Room,https://thecoatroom.com/menus/,Dinner - Small Plates,Lamb Chops,,$25.00
The Coat Room,https://thecoatroom.com/menus/,Dinner - Small Plates,Crab Cake,Butter Lettuce | Carrot-Ginger Vinaigrette | Radish,$24.00
The Coat Room,https://thecoatroom.com/menus/,Dinner - Small Plates,Hummus,"Campari Tomatoes | Cucumbers | Red Onion | Bell Peppers | Parsley 
Sumac | Feta | Olives",$16.00
The Coat Room,https://thecoatroom.com/menus/,Dinner - Small Plates,Bruscetta,,$14.00
The Coat Room,https://thecoatroom.com/menus/,Dinner - Small Plates,LARGE Charcuterie Board,"Adirondak Cheddar | Moliterno AL Tartufo | Camembert | Manchego |
Capicola | Prosciutto | Olives | Stuffed Cherry Peppers | Pickled Broccolini |
Apricot Jam | Crackers",$55.00
The Coat Room,https://thecoatroom.com/menus/,Dinner - Small Plates,SMALL Charcuterie Board,"Adirondak Cheddar | Camembert | Prosciutto | Olives | Seasonal Fruit |
Apricot Jam | Mixed Nuts | Crackers",$35.00
The Coat Room,https://thecoatroom.com/menus/,Dessert,Southern Sweet Potato Custard,,$16.00
The Coat Room,https://thecoatroom.com/menus/,Dessert,The Bramble,,$20.00
The Coat Room,https://thecoatroom.com/menus/,Dessert,Flourless Torte,,$15.00
The Coat Room,https://thecoatroom.com/menus/,Dessert,Cake for 2,,$25.00
The Coat Room,https://thecoatroom.com/menus/,Dessert,Affogato,,$10.00
The Coat Room,https://thecoatroom.com/menus/,Dessert,Pastina Dolce,Nutella Frosting | Bourbon Cherries,$15.00
The Coat Room,https://thecoatroom.com/menus/,Dessert,Lemon Cheese Pie,,$15.00
The Coat Room,https://thecoatroom.com/menus/,RW,$160 food menu,,$160.00
The Coat Room,https://thecoatroom.com/menus/,RW,3 Broccolini Pasta,,
The Coat Room,https://thecoatroom.com/menus/,RW,2 Caribbean Scallop Ceviche,,
The Coat Room,https://thecoatroom.com/menus/,RW,2 Meatball + Burrata,,
The Coat Room,https://thecoatroom.com/menus/,RW,1 Toscana,,
The Coat Room,https://thecoatroom.com/menus/,RW,5 Banana Foster Pudding,,
The Coat Room,https://thecoatroom.com/menus/,RW,3 Ragu,,
The Coat Room,https://thecoatroom.com/menus/,RW,5 Sorbetto,,
The Coat Room,https://thecoatroom.com/menus/,RW,4 Filet Suprme,,
The Coat Room,https://thecoatroom.com/menus/,RW,4 Cauliflower Steak,,
The Coat Room,https://thecoatroom.com/menus/,RW,2 Shrimp + Chorizo,,
The Coat Room,https://thecoatroom.com/menus/,RW,4 Halibut,,
The Coat Room,https://thecoatroom.com/menus/,RW,5 Tiramisu,,
The Coat Room,https://thecoatroom.com/menus/,RW,5 Flourless Torte,,
The Coat Room,https://thecoatroom.com/menus/,RW,3 Amatricana,,
The Coat Room,https://thecoatroom.com/menus/,RW,$75 wine pairing,,$75.00
The Coat Room,https://thecoatroom.com/menus/,RW,1 Antipasta,,
The Coat Room,https://thecoatroom.com/menus/,RW,2 Sicilian Funghi,,
The Coat Room,https://thecoatroom.com/menus/,RW,1 Blueberry Goat,,
The Coat Room,https://thecoatroom.com/menus/,RW,4 Short Rib,,
The Coat Room,https://thecoatroom.com/menus/,RW,3 Funghi,,
The Coat Room,https://thecoatroom.com/menus/,Tier Desserts,Carrot Cake,,
The Coat Room,https://thecoatroom.com/menus/,Tier Desserts,Gelato/Ice Cream,,
The Coat Room,https://thecoatroom.com/menus/,Tier Desserts,Flourless Chocolate Cake,,
The Coat Room,https://thecoatroom.com/menus/,Tier Desserts,"Coffee, Tea, or Latte",,
The Coat Room,https://thecoatroom.com/menus/,Tier Desserts,Lemon Tart,,
The Coat Room,https://thecoatroom.com/menus/,Tier Desserts,Pot de Crème,,
The Coat Room,https://thecoatroom.com/menus/,Tier Desserts,Creme Brule,,
The Coat Room,https://thecoatroom.com/menus/,Tier Entrees,Kids food,,
The Coat Room,https://thecoatroom.com/menus/,Tier Entrees,Strip Steak,,
The Coat Room,https://thecoatroom.com/menus/,Tier Entrees,Red Snapper,,
The Coat Room,https://thecoatroom.com/menus/,Tier Entrees,Eggplant Parm,,
The Coat Room,https://thecoatroom.com/menus/,Tier Entrees,Seasonal Fish Dish,,
The Coat Room,https://thecoatroom.com/menus/,Tier Entrees,Veg Napolean,,
The Coat Room,https://thecoatroom.com/menus/,Tier Entrees,Seasonal Pasta Dish,,
The Coat Room,https://thecoatroom.com/menus/,Tier Entrees,Seasonal Chicken DIsh,,
The Coat Room,https://thecoatroom.com/menus/,Tier Entrees,Pasta Primavera,,
The Coat Room,https://thecoatroom.com/menus/,Tier Entrees,Chicken Au Reisling,,
The Coat Room,https://thecoatroom.com/menus/,Tier Entrees,Filet,,
The Coat Room,https://thecoatroom.com/menus/,Tier Entrees,Chilean Sea Bass,,
The Coat Room,https://thecoatroom.com/menus/,Tier Passed,Eggplant Meatballs,,
The Coat Room,https://thecoatroom.com/menus/,Tier Passed,Fried Avo Stickers,,
The Coat Room,https://thecoatroom.com/menus/,Tier Passed,Chicken Skewers,,
The Coat Room,https://thecoatroom.com/menus/,Tier Passed,Oyster Shooters,,
The Coat Room,https://thecoatroom.com/menus/,Tier Passed,Roasted Plum Tomatoes,,
The Coat Room,https://thecoatroom.com/menus/,Tier Passed,Deviled Eggs,,
The Coat Room,https://thecoatroom.com/menus/,Tier Passed,Stuffed Mushrooms,,
The Coat Room,https://thecoatroom.com/menus/,Tier Passed,Beet Crostini,,
The Coat Room,https://thecoatroom.com/menus/,Tier Passed,Caviar,,
The Coat Room,https://thecoatroom.com/menus/,Tier Passed,Tuna Poke,,
The Coat Room,https://thecoatroom.com/menus/,Tier Passed,Seared Beef Tenderloin,,
The Coat Room,https://thecoatroom.com/menus/,Tier Passed,Garlic Shrimp,,
The Coat Room,https://thecoatroom.com/menus/,Tier Passed,Bruschetta,,
The Coat Room,https://thecoatroom.com/menus/,Tier Passed,Steak Kebabs,,
The Coat Room,https://thecoatroom.com/menus/,Tier Passed,Shrimp Cocktail,,
The Coat Room,https://thecoatroom.com/menus/,Tier Passed,Moroccan Meatballs,,
The Coat Room,https://thecoatroom.com/menus/,Tier Passed,Crab Cakes,,
The Coat Room,https://thecoatroom.com/menus/,Tier Passed,Bacon Wrapped Dates,,
The Coat Room,https://thecoatroom.com/menus/,Tier Passed,Lamb Chops,,
The Coat Room,https://thecoatroom.com/menus/,Tier Passed,Deviled Eggs with Caviar,,
The Coat Room,https://thecoatroom.com/menus/,Tier Starters,Crab Cake,,
The Coat Room,https://thecoatroom.com/menus/,Tier Starters,Roasted Carrots,,
The Coat Room,https://thecoatroom.com/menus/,Tier Starters,Shrimp Cocktail,,
The Coat Room,https://thecoatroom.com/menus/,Tier Starters,Lamb Chops,,
The Coat Room,https://thecoatroom.com/menus/,Tier Starters,Hummus,,
The Coat Room,https://thecoatroom.com/menus/,Tier Starters,Garlic Shrimp,,
The Coat Room,https://thecoatroom.com/menus/,Tier Starters,Asparagus in Puff Pastry,,
The Coat Room,https://thecoatroom.com/menus/,Tier Starters,Ricotta,,
The Coat Room,https://thecoatroom.com/menus/,Tier Starters,Smoked Salmon,,
