restaurant_name,restaurant_url,menu_name,menu_type,name,description,price
The Cock 'n Bull,https://www.thecocknbull.com/menu,Menu,Opening Acts...,Praline Bacon...,"thick cut Applewood smoked bacon candied with bourbon, brown sugar 'n cane syrup; finished with crushed pecans",$16
The Cock 'n Bull,https://www.thecocknbull.com/menu,Menu,Opening Acts...,Grilled Sweet Corn Dip...,,$16
The Cock 'n Bull,https://www.thecocknbull.com/menu,Menu,Opening Acts...,Baked Brie...,,$14
The Cock 'n Bull,https://www.thecocknbull.com/menu,Menu,Opening Acts...,French Onion Soup...,"spent grain crouton, Provolone 'n Swiss",$10
The Cock 'n Bull,https://www.thecocknbull.com/menu,Menu,Opening Acts...,Chicken Wings...,"by the dozen... buffalo, garlic parmesan, Cajun, Jerk, BBQ, ""The Recipe""",$20
The Cock 'n Bull,https://www.thecocknbull.com/menu,Menu,SALADS...,Farmhouse Salad...,rotating seasonal pickins,$12
The Cock 'n Bull,https://www.thecocknbull.com/menu,Menu,SALADS...,Spinach Salad...,"spinach, bacon, mushrooms, sweet 'n sour vinaigrette, crumbled egg",$10
The Cock 'n Bull,https://www.thecocknbull.com/menu,Menu,Main Stage...,Grilled Delmonico...,roasted marrow butter,$54
The Cock 'n Bull,https://www.thecocknbull.com/menu,Menu,Main Stage...,Wild Mushroom Encrusted NY Strip Steak...,brandy cream reduction,$44
The Cock 'n Bull,https://www.thecocknbull.com/menu,Menu,Main Stage...,Sliced Sirloin...,"grilled Kilcoyne Farms sirloin, served over NightWorks sourdough with sizzling garlic butter",$32
The Cock 'n Bull,https://www.thecocknbull.com/menu,Menu,Main Stage...,Teriyaki Steak...,on rice pilaf finished with mustard seed 'n horseradish teriyaki,$32
The Cock 'n Bull,https://www.thecocknbull.com/menu,Menu,Main Stage...,Chicken Adirondack...,"boneless chicken breast stuffed with ham, cheddar and green onions, finished with an apple 'n onion glaze",$30
The Cock 'n Bull,https://www.thecocknbull.com/menu,Menu,Main Stage...,Chicken Pot Pie...,"Smith's sweet corn, Carrot Barn carrots",$26
The Cock 'n Bull,https://www.thecocknbull.com/menu,Menu,Main Stage...,Charlton Burger...,"pasture raised, local Angus beef from Anderson Acres, bacon 'n sharp cheddar",$20
The Cock 'n Bull,https://www.thecocknbull.com/menu,Menu,Main Stage...,Chicken Enchilada...,"seasoned chicken, caramelized onions 'n sour cream wrapped in a flour tortilla 'n baked with a blend of Mexican cheese",$19
The Cock 'n Bull,https://www.thecocknbull.com/menu,Menu,Main Stage...,Barnwich...,"boneless chicken breast, bacon, Swiss 'n garlic basil dressing on a hard roll",$17
The Cock 'n Bull,https://www.thecocknbull.com/menu,Menu,Main Stage...,Grilled Tuna Steak Sandwich...,with Cajun or wasabi mayo,$18
The Cock 'n Bull,https://www.thecocknbull.com/menu,Menu,Main Stage...,Spinach Feta Pizza...,on our homemade spent grain crust,$18
The Cock 'n Bull,https://www.thecocknbull.com/menu,Menu,Main Stage...,"Add mushrooms, onions or horseradish sauce",,$2
