restaurant_name,restaurant_url,menu_name,menu_type,section,name,description,price
The End Zone Sports Pub,https://www.theendzonesportspub.com/,Main Menu,Main Menu,Salads,Italian Antipasto,"Meats, Cheeses, Stuffed Peppers, Imported Olives",Small (Feeds 2-3) $16.99 | Large (Feeds 4-6) $21.99
The End Zone Sports Pub,https://www.theendzonesportspub.com/,Main Menu,Main Menu,Salads,Lemon Pepper Shrimp Salad,"Lettuce, Tomato, Cucumber, Olives, Onions, Cheese",$15.99
The End Zone Sports Pub,https://www.theendzonesportspub.com/,Main Menu,Main Menu,Salads,Wedge Salad,"Iceberg Lettuce, Bacon, Tomatoes, Homemade Bleu Cheese",$10.99
The End Zone Sports Pub,https://www.theendzonesportspub.com/,Main Menu,Main Menu,Salads,Cranberry Chicken Walnut Salad,"Lettuce, Tomato, Cucumbers, Olives, Onions, Bleu Cheese Crumbles, Cran Raisins, Walnuts, Raspberry Vinaigrette Dressing",$13.99
The End Zone Sports Pub,https://www.theendzonesportspub.com/,Main Menu,Main Menu,Salads,Greek Salad,"Lettuce, Tomatoes, Cucumbers, Onions, Kalamata Olives, Pepperoncini, Greek Dressing. Add-ons: Chicken +$3 / Lettuce, Tomatoes, Cucumbers, Onions, Kalamata Olives, Pepperoncini, Greek Dressing. Add Chicken +$3",$3
The End Zone Sports Pub,https://www.theendzonesportspub.com/,Main Menu,Main Menu,Salads,Buffalo Chicken Salad,"Lettuce, Tomato, Cucumbers, Olives, Onions, Bleu Cheese Crumbles, Grilled or Crispy",$13.99
The End Zone Sports Pub,https://www.theendzonesportspub.com/,Main Menu,Main Menu,Salads,Garden Salad,,$8.99
The End Zone Sports Pub,https://www.theendzonesportspub.com/,Main Menu,Main Menu,Salads,Side Salad,,$4.59
The End Zone Sports Pub,https://www.theendzonesportspub.com/,Main Menu,Main Menu,Salads,Caesar Salad,"Romaine Lettuce, Parmesan Cheese, Croutons, Caesar Dressing. Add Chicken",$3
The End Zone Sports Pub,https://www.theendzonesportspub.com/,Main Menu,Main Menu,Salads,Southwest Taco Salad,Beef or Chicken,$14.99
