restaurant_name,restaurant_url,section,name,description,price
The Galway Local,https://www.thegalwaylocalny.com/,Breakfast Menu,BREAKFAST SANDWICH,Jireh Farm’s Egg and Cheese on a Kaiser roll w/ Bacon or Sausage +$2 AND/OR make it a double +$2. Add-ons: +$2,$5
The Galway Local,https://www.thegalwaylocalny.com/,Breakfast Menu,BAGEL,"Plain, Everything, Cinnamon Raisin, or Sesame Seed w/ Cream Cheese +$1 New York Style: Smoked Salmon, Cream Cheese, Capers, Tomatoes and Red Onion +$4. Add-ons: +$1 | +$4",$4
The Galway Local,https://www.thegalwaylocalny.com/,Breakfast Menu,BREAKFAST PLATE,"Two Jireh Farm’s eggs, toast, and homefries w/ Bacon or Sausage +$2. Add-ons: +$2",$8
The Galway Local,https://www.thegalwaylocalny.com/,Breakfast Menu,PANCAKES,Fluffy buttermilk pancakes. Served with Nightingale’s Farm maple syrup. Add chocolate chips or blueberries +$1. Add-ons: +$1,$9
The Galway Local,https://www.thegalwaylocalny.com/,Breakfast Menu,COUNTRY FRENCH TOAST,"Made with our French Boule and served with fresh berries, whipped cream and Nightingale’s Farm maple syrup",$10
The Galway Local,https://www.thegalwaylocalny.com/,Breakfast Menu,BELGIAN STYLE WAFFLE,"Fluffy and light. Served with fresh berries, whipped cream and Nightingale’s Farm maple syrup",$10
The Galway Local,https://www.thegalwaylocalny.com/,Breakfast Menu - Add On’s,Side of Bacon or Sausage,,$2
The Galway Local,https://www.thegalwaylocalny.com/,Drink Menu - Speciality Coffee,FILTER COFFEE,"A good old cup of joe, using our private label blend “The Galway Grind.” Made specially for us by Chris’ Coffee in Latham. Regular or decaf, with free refills OR To go | $3/$4. Add-ons: +$3 | +$4",$3
The Galway Local,https://www.thegalwaylocalny.com/,Drink Menu - Speciality Coffee,ICED COFFEE,"Brewed by us daily using our private label blend “The Galway Grind”, or our decaf blend “Unplugged” (20 oz). Add-ons: +$20",$4
The Galway Local,https://www.thegalwaylocalny.com/,Drink Menu - Speciality Coffee,ESPRESSO,"One or two shots of our delicious private label “Up Late Upstate” whole espresso beans, ground fresh on the spot",$4 / $5
The Galway Local,https://www.thegalwaylocalny.com/,Drink Menu - Speciality Coffee,CAPPUCCINO,One shot of our espresso topped with steamed milk and foam (8 oz). Add flavor shot +1. Add-ons: +$8 | +$1,$5
The Galway Local,https://www.thegalwaylocalny.com/,Drink Menu - Speciality Coffee,LATTE,"One or two shots of our espresso topped with steamed milk and flavor shot of your choice, with or without whipped cream Regular (12 oz) or Large (16 oz). Add-ons: +$12 | +$16",$5 / $6
The Galway Local,https://www.thegalwaylocalny.com/,Drink Menu - Speciality Coffee,ICED LATTE,Espresso poured over ice with milk of your choice (16 oz). Add-ons: +$16,$5
The Galway Local,https://www.thegalwaylocalny.com/,Drink Menu - Speciality Coffee,MAKE IT FANCY,With your choice of flavor shot and/or whipped cream (16 oz). Add-ons: +$16,$1
The Galway Local,https://www.thegalwaylocalny.com/,Drink Menu - COLD DRINKS,SOFT DRINKS,"Choose from Coke, Diet Coke, Root Beer, Sprite, Ginger Ale, or Pink Lemonade, with free refills. Regular(12 oz) or Large(16 oz). Add-ons: +$12 | +$16",$4
The Galway Local,https://www.thegalwaylocalny.com/,Drink Menu - COLD DRINKS,ICED TEA,"“Arizona” Iced Tea - choose Sweet or Unsweetened, with free refills. TO GO Large (20 oz). Add-ons: +$20",$4
The Galway Local,https://www.thegalwaylocalny.com/,Drink Menu - COLD DRINKS,JUICE,"Orange, Apple or Cranberry Regular (8 oz) or Large (12 oz). Add-ons: +$8 | +$12",$3 / $5
The Galway Local,https://www.thegalwaylocalny.com/,Drink Menu - COLD DRINKS,MILK,"From King Brother’s Dairy, choose whole or chocolate Regular (8 oz) or Large (12 oz). Add-ons: +$8 | +$12",$3 / $4
The Galway Local,https://www.thegalwaylocalny.com/,Drink Menu - HOT DRINKS,POT OF BLACK TEA,"Choose from Bigelow English Breakfast, Earl Grey or Constant Comment (decaf)",$3
