restaurant_name,restaurant_url,menu_name,menu_type,section,name,description,price
The Inn at Saratoga,http://www.theinnatsaratoga.com/,Small Plates,Food & Drinks,Small Plates,Crab Cakes,"Lemon crème fraiche, greens GF",$22
The Inn at Saratoga,http://www.theinnatsaratoga.com/,Small Plates,Food & Drinks,Small Plates,Grilled Flatbread,"Fresh mozzarella, basil, marinated tomatoes",$16
The Inn at Saratoga,http://www.theinnatsaratoga.com/,Small Plates,Food & Drinks,Small Plates,Seared Tuna,"Cucumber rounds, wasabi crème fraiche GF",$19
The Inn at Saratoga,http://www.theinnatsaratoga.com/,Small Plates,Food & Drinks,Small Plates,Meatballs,"Beef, housemade sauce GF",$14
The Inn at Saratoga,http://www.theinnatsaratoga.com/,Small Plates,Food & Drinks,Small Plates,Grilled Pita,"Hummus, marinated olives & feta",$14
The Inn at Saratoga,http://www.theinnatsaratoga.com/,Small Plates,Food & Drinks,Small Plates,Duck Fat Truffle Fries,"Hand cut, truffle oil, parmesan, garlic mayo GF",$15
The Inn at Saratoga,http://www.theinnatsaratoga.com/,Small Plates,Food & Drinks,Small Plates,Shrimp Cocktail,"Cocktail sauce, lemon slices GF",$20
The Inn at Saratoga,http://www.theinnatsaratoga.com/,Small Plates,Food & Drinks,Small Plates,Chips & Salsa,"Fresh fried tortilla chips, housemade salsa GF",$8
The Inn at Saratoga,http://www.theinnatsaratoga.com/,Small Plates,Food & Drinks,Small Plates,Soup,French Onion / Soup du jour,$7 / $10
The Inn at Saratoga,http://www.theinnatsaratoga.com/,Salads,Food & Drinks,Salads,House Salad GF,,1/2 Salad $8 | Full Salad $14
The Inn at Saratoga,http://www.theinnatsaratoga.com/,Salads,Food & Drinks,Salads,Arugula Salad,"Grilled peaches, red onion, burrata GF",$9 | $16
The Inn at Saratoga,http://www.theinnatsaratoga.com/,Salads,Food & Drinks,Salads,Classic Caesar,"Romaine, parmesan cheese, croutons, Caesar dressing.
Add-ons: Add: Chicken $8 / Shrimp $20",$8 | $14
The Inn at Saratoga,http://www.theinnatsaratoga.com/,Cheese & Charcuterie,Food & Drinks,Cheese & Charcuterie,Fromage,Goat & Cow soft w/ honey,
The Inn at Saratoga,http://www.theinnatsaratoga.com/,Cheese & Charcuterie,Food & Drinks,Cheese & Charcuterie,Single Item,"comes with nuts, crostini, grapes, fig jam",$10 | Three Items $27
