restaurant_name,restaurant_url,menu_name,menu_type,section,name,description,price
The Local Pub and Teahouse,https://www.thelocalpubandteahouse.com/,Starters,Menu,Starters,'Local' Fries,hand cut & twice cooked,$10.00
The Local Pub and Teahouse,https://www.thelocalpubandteahouse.com/,Starters,Menu,Starters,Poutine 'Local' Fries,melted cheddar & gravy. Add-ons: Cheese Curds +$3.00,$12.00
The Local Pub and Teahouse,https://www.thelocalpubandteahouse.com/,Starters,Menu,Starters,Fried Pickles,served with a cucumber wasabi aioli,$12.00
The Local Pub and Teahouse,https://www.thelocalpubandteahouse.com/,Starters,Menu,Starters,Tater Tots,house made with black pepper & parm,$12.00
The Local Pub and Teahouse,https://www.thelocalpubandteahouse.com/,Starters,Menu,Starters,Chicken Fingers,house made & antibiotic free with celery & blue cheese - choice of buffalo or bbq sauce,$14.00
The Local Pub and Teahouse,https://www.thelocalpubandteahouse.com/,Starters,Menu,Starters,Wings,"mild, medium, hot, habañero mango, sweet chili, bbq, sal's sauce, hot honey, garlic parm, house dry rub wings",10 Wings $16.00 | 20 Wings $26.00
The Local Pub and Teahouse,https://www.thelocalpubandteahouse.com/,Starters,Menu,Starters,Potato pancake,two potato pancakes served with sour cream and green onions,$11.00
The Local Pub and Teahouse,https://www.thelocalpubandteahouse.com/,Burgers,Menu,Burgers,'The Local' Burger,"chargrilled beef with lettuce, tomato & onion served on a bun",$15.00
The Local Pub and Teahouse,https://www.thelocalpubandteahouse.com/,Burgers,Menu,Burgers,Local Farm Burger,"8oz grass fed organic locally raised angus beef, handmade daily on a bun",$17.00
The Local Pub and Teahouse,https://www.thelocalpubandteahouse.com/,Burgers,Menu,Burgers,Veggie Burger,"house made with pineapple, poblano, chickpeas, pickled radish & tzatziki",$15.00
The Local Pub and Teahouse,https://www.thelocalpubandteahouse.com/,Burgers,Menu,Burgers,One-Eye Burger,"our famous local burger topped with an over-easy egg & bacon with homefries served on a bun with lettuce, tomato and onion",$19.00
The Local Pub and Teahouse,https://www.thelocalpubandteahouse.com/,Brunch,Menu,Brunch,2 - 2 - 2,"2 eggs any style, 2 slices of bacon & 2 pancakes",$14.00
The Local Pub and Teahouse,https://www.thelocalpubandteahouse.com/,Brunch,Menu,Brunch,French Toast,"egg battered hearty potato bread, powdered sugar and maple syrup",$11.00
The Local Pub and Teahouse,https://www.thelocalpubandteahouse.com/,Brunch,Menu,Brunch,Homemade Pancakes,three fluffy pancakes,$10.00
The Local Pub and Teahouse,https://www.thelocalpubandteahouse.com/,Brunch,Menu,Brunch,Two Eggs*,"two eggs any style, toast, bacon, ham or sausage",$10.00
The Local Pub and Teahouse,https://www.thelocalpubandteahouse.com/,Brunch,Menu,Brunch,Big Omelette*,3 items from our adds list with toast,$14.00
The Local Pub and Teahouse,https://www.thelocalpubandteahouse.com/,Brunch,Menu,Brunch,Breakfast Burrito,"scrambled eggs, sausage, home fries, cheddar, queso & bean mix with salsa & sour cream on the side",$13.00
