restaurant_name,restaurant_url,menu_name,menu_type,section,name,description,price
The Merc Saratoga,https://www.themercsaratoga.com/,Brunch Menu,Brunch,SHAREABLES,BISCUIT BASKET,Served With A Seasonal Butter,$9
The Merc Saratoga,https://www.themercsaratoga.com/,Brunch Menu,Brunch,SHAREABLES,CHICKEN WINGS,Buffalo | Garlic Parm | Nashville Hot,$14
The Merc Saratoga,https://www.themercsaratoga.com/,Brunch Menu,Brunch,SHAREABLES,CRISPY BRUSSELS SPROUTS,"Crispy Seasoned Brussels Sprouts, Honey Mustard",$14
The Merc Saratoga,https://www.themercsaratoga.com/,Brunch Menu,Brunch,SHAREABLES,TRUFFLE FRIES,"Grana Padano, Truffle Oil, Fried Egg, Roasted Rosemary Garlic Aioli",$16
The Merc Saratoga,https://www.themercsaratoga.com/,Brunch Menu,Brunch,SHAREABLES,DEVILED EGGS,"Arugula, Crispy Smoked Bacon, Heirloom Cherry Tomatoes, House-Made Pickles",$13
The Merc Saratoga,https://www.themercsaratoga.com/,Brunch Menu,Brunch,SHAREABLES,AVOCADO TOAST,"Toasted Wheatberry Bread, Smashed Avocado, Cucumber, Heirloom Cherry Tomatoes, Microgreens",$14
The Merc Saratoga,https://www.themercsaratoga.com/,Brunch Menu,Brunch,SALADS,SEASONAL SALAD,"Roasted Beets, Goat Cheese, Bacon Lardons, Candied Pecans, Mixed Greens, Balsamic Vinaigrette",$17
The Merc Saratoga,https://www.themercsaratoga.com/,Brunch Menu,Brunch,SALADS,WEDGE,"Iceberg, Spiced Honey, Bacon Lardons, Walnuts, Cherry Tomatoes, Granny Smith Apples, Blue Cheese Dressing",$16
The Merc Saratoga,https://www.themercsaratoga.com/,Brunch Menu,Brunch,SALADS,NICOISE,"Harvest Greens, Soft Boiled Egg, Heirloom Cherry Tomatoes, Greek Olives, Potatoes, Quinoa, Red Wine Mustard Vinaigrette, Fried Capers",$16
The Merc Saratoga,https://www.themercsaratoga.com/,Brunch Menu,Brunch,SALADS,BABY KALE CAESAR,"Baby Kale, White Anchovy, Parmigiano, House Croutons",$15
The Merc Saratoga,https://www.themercsaratoga.com/,Brunch Menu,Brunch,SWEETS,BUTTERMILK PANCAKES,,$14
The Merc Saratoga,https://www.themercsaratoga.com/,Brunch Menu,Brunch,SWEETS,BRIOCHE FRENCH TOAST,,$14
The Merc Saratoga,https://www.themercsaratoga.com/,Brunch Menu,Brunch,SWEETS,CHICKEN & WAFFLES,,$19
