restaurant_name,restaurant_url,menu_name,menu_type,section,name,description,price
The Misfit Saratoga,http://www.themisfitsaratoga.com/,SIGNATURE COCKTAILS,Menu,SIGNATURE COCKTAILS,Misfit Espresso Martini,"Available Black, Creamy, Peanut Butter or Pumpkin",$17.00
The Misfit Saratoga,http://www.themisfitsaratoga.com/,SIGNATURE COCKTAILS,Menu,SIGNATURE COCKTAILS,Jessica Rabbit,Vodka-Lime-Strawberry-Balsamic,$13.00
The Misfit Saratoga,http://www.themisfitsaratoga.com/,SIGNATURE COCKTAILS,Menu,SIGNATURE COCKTAILS,Purple Rain,Empress Gin-Lemon-Mint Reduction,$14.00
The Misfit Saratoga,http://www.themisfitsaratoga.com/,SIGNATURE COCKTAILS,Menu,SIGNATURE COCKTAILS,Boujie Bitch,"Vodka or Gin, St Germain-Lime-Bubbles",$14.00
The Misfit Saratoga,http://www.themisfitsaratoga.com/,SIGNATURE COCKTAILS,Menu,SIGNATURE COCKTAILS,Clockwork Orange,Vodka-Blood Orange-Ginger Beer-Lime,$13.00
The Misfit Saratoga,http://www.themisfitsaratoga.com/,SIGNATURE COCKTAILS,Menu,SIGNATURE COCKTAILS,Naughty Nurse,Mezcal-Honey-Ginger-Lime,$13.00
The Misfit Saratoga,http://www.themisfitsaratoga.com/,SIGNATURE COCKTAILS,Menu,SIGNATURE COCKTAILS,El Mariachi,Tequila-Passionfruit-Tajin,$13.00
The Misfit Saratoga,http://www.themisfitsaratoga.com/,SIGNATURE COCKTAILS,Menu,SIGNATURE COCKTAILS,Misfit Mule,Vodka-Ginger-Lime-Serrano,$12.00
The Misfit Saratoga,http://www.themisfitsaratoga.com/,SIGNATURE COCKTAILS,Menu,SIGNATURE COCKTAILS,Dazed and Confused,"Bourbon-Antica Carpano-Benedictine, Maple-Smoke",$15.00
The Misfit Saratoga,http://www.themisfitsaratoga.com/,SIGNATURE COCKTAILS,Menu,SIGNATURE COCKTAILS,Knight Rider,Bourbon-Black Currant-Lemon-Hazelnut,$13.00
The Misfit Saratoga,http://www.themisfitsaratoga.com/,SIGNATURE COCKTAILS,Menu,SIGNATURE COCKTAILS,Last of the Margaritas,Tequila-Green Chartreuse-Maraschino Cucumber-Lime,$13.00
The Misfit Saratoga,http://www.themisfitsaratoga.com/,SEASONAL COCKTAILS,Menu,SEASONAL COCKTAILS,We Didn't Start The Fire,Anejo Tequila-Mezcal-Lime-Egg White,$15.00
The Misfit Saratoga,http://www.themisfitsaratoga.com/,SEASONAL COCKTAILS,Menu,SEASONAL COCKTAILS,Gimme S'more,Baileys-Vanilla Vodka-Toasted Marshmellow-Chocolate-Frangelico-Cream-S'more Rim,$15.00
The Misfit Saratoga,http://www.themisfitsaratoga.com/,SEASONAL COCKTAILS,Menu,SEASONAL COCKTAILS,Winter Old Fashioned,Bourbon-Rosemary-Pomegranate-Cinnamon-Orange Bitters,$15.00
The Misfit Saratoga,http://www.themisfitsaratoga.com/,SEASONAL COCKTAILS,Menu,SEASONAL COCKTAILS,Not My Gumdrop Buttons,Bourbon-Brown Sugar Gingerbread-Eggnog-Frangelico-Maple-Frosting Rim,$15.00
The Misfit Saratoga,http://www.themisfitsaratoga.com/,SEASONAL COCKTAILS,Menu,SEASONAL COCKTAILS,Winter Wonder,Vanilla Vodka-Cran/Rosemary-Ginger-Lime-Ginger Ale,$15.00
The Misfit Saratoga,http://www.themisfitsaratoga.com/,SEASONAL COCKTAILS,Menu,SEASONAL COCKTAILS,GINgle Bells,Gin-Pom/Cinnamon-Sorrel-Orange Bitters,$15.00
The Misfit Saratoga,http://www.themisfitsaratoga.com/,SEASONAL COCKTAILS,Menu,SEASONAL COCKTAILS,Ho-Ho-Cocoa,Hot Cocoa and Peppermint Vodka (Also available as a mocktail),$13.00
The Misfit Saratoga,http://www.themisfitsaratoga.com/,MOCKTAILS,Menu,MOCKTAILS,Snowflake,Vanilla-Pom/Cinnamon-Lime-Ginger Ale,$8.00
The Misfit Saratoga,http://www.themisfitsaratoga.com/,MOCKTAILS,Menu,MOCKTAILS,Punky Brewster,Strawberry-Balsamic-Lime-Soda,$8.00
The Misfit Saratoga,http://www.themisfitsaratoga.com/,MOCKTAILS,Menu,MOCKTAILS,Lavender Sky,Blueberry-Lavender-Lemon,$8.00
The Misfit Saratoga,http://www.themisfitsaratoga.com/,MOCKTAILS,Menu,MOCKTAILS,Mockwork Orange,Blood Orange - Ginger Beer - Lime,$8.00
The Misfit Saratoga,http://www.themisfitsaratoga.com/,BOTTLES & CANS,Menu,BOTTLES & CANS,Miller Lite,"Milwaukee, WI-4.2% ABV-16 oz",$5.00
The Misfit Saratoga,http://www.themisfitsaratoga.com/,BOTTLES & CANS,Menu,BOTTLES & CANS,Surfside,Hard Tea,$10.00
The Misfit Saratoga,http://www.themisfitsaratoga.com/,BOTTLES & CANS,Menu,BOTTLES & CANS,"Allagash, White Belgian Wheat","Portland, ME-5.2% ABV-16 oz",$9.00
The Misfit Saratoga,http://www.themisfitsaratoga.com/,BOTTLES & CANS,Menu,BOTTLES & CANS,Sierra Nevada Pale Ale,"Chico, CA-5.6% ABV-16 oz",$7.00
The Misfit Saratoga,http://www.themisfitsaratoga.com/,BOTTLES & CANS,Menu,BOTTLES & CANS,"Ommegang, Rare Vos Belgian Ale","Cooperstown, NY-6.5% ABV-16 oz",$8.00
The Misfit Saratoga,http://www.themisfitsaratoga.com/,BOTTLES & CANS,Menu,BOTTLES & CANS,Guinness Draught Stout,Ireland-4.2% ABV-14.9 oz,$12.00
The Misfit Saratoga,http://www.themisfitsaratoga.com/,BOTTLES & CANS,Menu,BOTTLES & CANS,Fiddlehead IPA,"Shelburne, VT-6.2% ABV-16 oz",$9.00
The Misfit Saratoga,http://www.themisfitsaratoga.com/,BOTTLES & CANS,Menu,BOTTLES & CANS,"Sloop, Juice Bomb NEIPA","East Fishkill, NY-6.5% ABV-12 oz",$6.00
The Misfit Saratoga,http://www.themisfitsaratoga.com/,BOTTLES & CANS,Menu,BOTTLES & CANS,Modelo Especial,Mexico-4.5% ABV-12 oz,$6.00
The Misfit Saratoga,http://www.themisfitsaratoga.com/,BOTTLES & CANS,Menu,BOTTLES & CANS,"Maine, Lunch IPA","Freeport, ME-7.0% ABV-500 mL",$18.00
The Misfit Saratoga,http://www.themisfitsaratoga.com/,BOTTLES & CANS,Menu,BOTTLES & CANS,"Untitled Art, Juicy Haze IPA Non-Alcoholic","Wanaukee, WI-<.5% ABV-12 oz",$8.00
The Misfit Saratoga,http://www.themisfitsaratoga.com/,BOTTLES & CANS,Menu,BOTTLES & CANS,"High Noon Vodka Soda, 3 Flavors","Modesto, CA-4.5% ABV-12 oz",$8.00
The Misfit Saratoga,http://www.themisfitsaratoga.com/,BOTTLES & CANS,Menu,BOTTLES & CANS,"White Claw Hard Seltzer, 2 Flavors","Chicago, IL-5.0% ABV-16 oz",$7.00
The Misfit Saratoga,http://www.themisfitsaratoga.com/,BOTTLES & CANS,Menu,BOTTLES & CANS,"Original Sin, McIntosh Unfiltered Cider","New York, NY-6.0% ABV-12 oz",$6.00
The Misfit Saratoga,http://www.themisfitsaratoga.com/,BOTTLES & CANS,Menu,BOTTLES & CANS,Guinness,Ireland-4.2% ABV-14.9 oz,$7.00
The Misfit Saratoga,http://www.themisfitsaratoga.com/,BUBBLES,Menu,BUBBLES,"Benvolio, Prosecco","Veneto, IT",Glass $11.00 | Bottle $42.00
The Misfit Saratoga,http://www.themisfitsaratoga.com/,BUBBLES,Menu,BUBBLES,"Moët & Chandon, Imperial NV","Champagne, FR",$120.00
The Misfit Saratoga,http://www.themisfitsaratoga.com/,BUBBLES,Menu,BUBBLES,"Veuve Clicquot, Brut Rose NV","Champagne, FR",$150.00
The Misfit Saratoga,http://www.themisfitsaratoga.com/,BUBBLES,Menu,BUBBLES,"Dom Perignon, Brut Cuvée 2012","Champagne, FR",$450.00
The Misfit Saratoga,http://www.themisfitsaratoga.com/,WHITE,Menu,WHITE,"Chloe, Pinot Grigio","Valdadige, IT",Glass $11.00 | Bottle $42.00
The Misfit Saratoga,http://www.themisfitsaratoga.com/,WHITE,Menu,WHITE,"Squealing Pig, Sauvignon Blanc","Marlborough, NZ",Glass $11.00 | Bottle $42.00
The Misfit Saratoga,http://www.themisfitsaratoga.com/,WHITE,Menu,WHITE,"Dr. Konstantin Frank, Dry Riesling","Finger Lakes, NY",Glass $13.00 | Bottle $50.00
The Misfit Saratoga,http://www.themisfitsaratoga.com/,WHITE,Menu,WHITE,"Cave de Lugny, Unoaked Chardonnay","Maconnais, FR",Glass $12.00 | Bottle $46.00
The Misfit Saratoga,http://www.themisfitsaratoga.com/,ROSÉ,Menu,ROSÉ,"Juliette, Grenache & Syrah","Provence, FR",Glass $13.00 | Bottle $50.00
The Misfit Saratoga,http://www.themisfitsaratoga.com/,RED,Menu,RED,"Rascal, Pinot Noir","Willamette Valley, OR",Glass $11.00 | Bottle $42.00
The Misfit Saratoga,http://www.themisfitsaratoga.com/,RED,Menu,RED,"If You See Kay, Red Blend","Paso Robles, CA",Glass $14.00 | Bottle $54.00
The Misfit Saratoga,http://www.themisfitsaratoga.com/,RED,Menu,RED,"Lifevine, Cabernet Sauvignon","California, USA",Glass $12.00 | Bottle $46.00
