restaurant_name,restaurant_url,menu_name,menu_type,section,name,description,price
The Twisted Bagel Company,https://the-twisted-bagel-company.com-place.com/,BREAKFAST,Menu,BREAKFAST,STANDARD,With butter.,$5.06
The Twisted Bagel Company,https://the-twisted-bagel-company.com-place.com/,BREAKFAST,Menu,BREAKFAST,BUMM BURNER,"Two Eggs, Bacon, Pepper Jack Cheese, Homefries, Spicy Mayo",$8.29
The Twisted Bagel Company,https://the-twisted-bagel-company.com-place.com/,BREAKFAST,Menu,BREAKFAST,CHUNKADUNK,"Two Eggs, Bacon, Sausage",$12.19
The Twisted Bagel Company,https://the-twisted-bagel-company.com-place.com/,BREAKFAST,Menu,BREAKFAST,DELUXE,"Two Eggs, Cheese, Choice of: Bacon, Ham, Sausage",$7.75
The Twisted Bagel Company,https://the-twisted-bagel-company.com-place.com/,BREAKFAST,Menu,BREAKFAST,SWINFINS,"Lox Spread, Tomato, Red Onion",$7.29
The Twisted Bagel Company,https://the-twisted-bagel-company.com-place.com/,BREAKFAST,Menu,BREAKFAST,THESKINNY,"Three Egg Whites, Swiss Cheese, Spinach, Tomato",$7.18
The Twisted Bagel Company,https://the-twisted-bagel-company.com-place.com/,BREAKFAST,Menu,BREAKFAST,LIGHTEN-UP FRANCIS!,"Lox, Cream Cheese",$8.95
The Twisted Bagel Company,https://the-twisted-bagel-company.com-place.com/,BREAKFAST,Menu,BREAKFAST,BUBBENOSH,"Lox, Cream Cheese, Tomato, Capers, Onion",$11.74
The Twisted Bagel Company,https://the-twisted-bagel-company.com-place.com/,BREAKFAST,Menu,BREAKFAST,THESCOTTY,"Three Eggs, Ham, Avocado, Cucumber",$9.96
The Twisted Bagel Company,https://the-twisted-bagel-company.com-place.com/,BAGELS,Menu,BAGELS,BAGELS,"Plain, Everything, Sesame, Poppy, Onion, Garlic, Egg Everything, Jalapeno Cheddar +$1, Cinnamon Raisin +$1, French Toast +$1, 9 Grain, 9 Grain Everything, Pumpernickel",$1.14
The Twisted Bagel Company,https://the-twisted-bagel-company.com-place.com/,CREAM CHEESE,Menu,CREAM CHEESE,Cream Cheese,"Plain, Garden Veggie, Olive Pimento, Roasted Garlic Herb, Scallion, Bacon Scallion, Chive, Jalapeno, Maple Walnut, Chocolate Chip, Strawberry",
The Twisted Bagel Company,https://the-twisted-bagel-company.com-place.com/,CREAM CHEESE,Menu,CREAM CHEESE,LOX CC,,$9.96
The Twisted Bagel Company,https://the-twisted-bagel-company.com-place.com/,CREAM CHEESE,Menu,CREAM CHEESE,1/2 LB CC,,$6.06
The Twisted Bagel Company,https://the-twisted-bagel-company.com-place.com/,CREAM CHEESE,Menu,CREAM CHEESE,1/4 LB BUTTER,,$2.84
The Twisted Bagel Company,https://the-twisted-bagel-company.com-place.com/,BAGELS,Menu,BAGELS,YAZEN,,$6.24
The Twisted Bagel Company,https://the-twisted-bagel-company.com-place.com/,BAGELS,Menu,BAGELS,1/2 ZEN,,$12.84
The Twisted Bagel Company,https://the-twisted-bagel-company.com-place.com/,BAGELS,Menu,BAGELS,WITH CREAM CHEESE,,$3.90
The Twisted Bagel Company,https://the-twisted-bagel-company.com-place.com/,BAGELS,Menu,BAGELS,WITH BUTTER,,$2.23
The Twisted Bagel Company,https://the-twisted-bagel-company.com-place.com/,BAGELS,Menu,BAGELS,GLUTEN FREE!,"Cinnamon Raisin, Everything, Plain",$3.12
The Twisted Bagel Company,https://the-twisted-bagel-company.com-place.com/,LUNCH,Menu,LUNCH,BLAZIN SADDLES,"Roast Beef, Horseradish Mayo, Jalapenos, Provolone, Onions + Peppers",$12.52
The Twisted Bagel Company,https://the-twisted-bagel-company.com-place.com/,LUNCH,Menu,LUNCH,TWISTED BACON CLUB,"Cheddar, Turkey-Ham, Chive Schmer, LTO",$13.30
The Twisted Bagel Company,https://the-twisted-bagel-company.com-place.com/,LUNCH,Menu,LUNCH,PURPLE CHICKEN,"Grilled Chicken, Garlic Herb Schmer, Swiss, Beets",$12.52
The Twisted Bagel Company,https://the-twisted-bagel-company.com-place.com/,LUNCH,Menu,LUNCH,"""WHAT SAID""","Bacon, Lettuce, Tomatoes, Spicy Mayo, Swiss Cheese",
The Twisted Bagel Company,https://the-twisted-bagel-company.com-place.com/,LUNCH,Menu,LUNCH,PATTY BURGER,"Beef Patty, American, Bacon, Pickles, Ketchup, LTO",$13.30
The Twisted Bagel Company,https://the-twisted-bagel-company.com-place.com/,LUNCH,Menu,LUNCH,PB+J:,Fluffer,
