restaurant_name,restaurant_url,menu_name,menu_type,section,name,description,price
The Ugly Rooster,https://www.theuglyrooster.com/,PRIVATE DINING,Cafe Menu,PRIVATE DINING,Continental Options,,12-15 $35 | 15-30 $65
The Ugly Rooster,https://www.theuglyrooster.com/,PRIVATE DINING,Cafe Menu,PRIVATE DINING,"Mini Danish, Mini Bagel & Mini Muffin Platter",,12-15 $35 | 15-30 $65
The Ugly Rooster,https://www.theuglyrooster.com/,PRIVATE DINING,Cafe Menu,PRIVATE DINING,Sliced Fruit Platter with Yogurt Dip,,12-15 $35 | 15-30 $75
The Ugly Rooster,https://www.theuglyrooster.com/,PRIVATE DINING,Cafe Menu,PRIVATE DINING,Seasonal Fruit Bowl,,12-15 $35 | 15-30 $65
The Ugly Rooster,https://www.theuglyrooster.com/,PRIVATE DINING,Cafe Menu,PRIVATE DINING,Classic Bruschetta Platter,,12-15 $40 | 15-30 $70
The Ugly Rooster,https://www.theuglyrooster.com/,PRIVATE DINING,Cafe Menu,PRIVATE DINING,Assorted Cheese & Cracker/Flat Bread Platter,,12-15 $35 | 15-30 $45
The Ugly Rooster,https://www.theuglyrooster.com/,PRIVATE DINING,Cafe Menu,PRIVATE DINING,Seasonal Vegetable Platter with House Ranch Dip,,12-15 $35 | 15-30 $45
The Ugly Rooster,https://www.theuglyrooster.com/,PRIVATE DINING,Cafe Menu,PRIVATE DINING,Individual Orange or Apple Juice (priced per item),,$3
The Ugly Rooster,https://www.theuglyrooster.com/,PRIVATE DINING,Cafe Menu,PRIVATE DINING,Bottled Water (priced per item),,$1.50
The Ugly Rooster,https://www.theuglyrooster.com/,PRIVATE DINING,Cafe Menu,PRIVATE DINING,Regular/Decaf Coffee Hot Box w/all accompaniments,,$18 / $18
The Ugly Rooster,https://www.theuglyrooster.com/,PRIVATE DINING,Cafe Menu,PRIVATE DINING,Breakfast Extravaganza,"Scrambled eggs, home fries, french toast, bacon, sausage, mini danishes, mini bagels, fruit salad, coffee (All condiments and paper products supplied if needed)",$22/guest (10 minimum)
The Ugly Rooster,https://www.theuglyrooster.com/,PRIVATE DINING,Cafe Menu,PRIVATE DINING,Boxed Lunches,"Choice of ½ wrap, seasonal side or bag of chips, a cookie and a bottle of water",$15/guest
The Ugly Rooster,https://www.theuglyrooster.com/,1-2-3 Luncheon,Cafe Menu,1-2-3 Luncheon,Included Salad:,Garden or Caesar,$35/guest (20 minimum)
The Ugly Rooster,https://www.theuglyrooster.com/,1-2-3 Luncheon,Cafe Menu,1-2-3 Luncheon,Baked Salmon,"(Bourbon BBQ, pesto or with mango salsa)",$35/guest (20 minimum)
The Ugly Rooster,https://www.theuglyrooster.com/,1-2-3 Luncheon,Cafe Menu,1-2-3 Luncheon,Chicken Piccata,,$35/guest (20 minimum)
The Ugly Rooster,https://www.theuglyrooster.com/,1-2-3 Luncheon,Cafe Menu,1-2-3 Luncheon,Chicken Marsala,,$35/guest (20 minimum)
The Ugly Rooster,https://www.theuglyrooster.com/,1-2-3 Luncheon,Cafe Menu,1-2-3 Luncheon,Roasted Pork Loin,,$35/guest (20 minimum)
The Ugly Rooster,https://www.theuglyrooster.com/,1-2-3 Luncheon,Cafe Menu,1-2-3 Luncheon,Vegetable “Bolognese”,(over couscous),$35/guest (20 minimum)
The Ugly Rooster,https://www.theuglyrooster.com/,1-2-3 Luncheon,Cafe Menu,1-2-3 Luncheon,Penne a la Vodka,,$35/guest (20 minimum)
The Ugly Rooster,https://www.theuglyrooster.com/,1-2-3 Luncheon,Cafe Menu,1-2-3 Luncheon,Primavera,,$35/guest (20 minimum)
The Ugly Rooster,https://www.theuglyrooster.com/,1-2-3 Luncheon,Cafe Menu,1-2-3 Luncheon,Pesto,,$35/guest (20 minimum)
The Ugly Rooster,https://www.theuglyrooster.com/,1-2-3 Luncheon,Cafe Menu,1-2-3 Luncheon,Marinara,,$35/guest (20 minimum)
The Ugly Rooster,https://www.theuglyrooster.com/,1-2-3 Luncheon,Cafe Menu,1-2-3 Luncheon,Tortellini Alfredo,,$35/guest (20 minimum)
The Ugly Rooster,https://www.theuglyrooster.com/,1-2-3 Luncheon,Cafe Menu,1-2-3 Luncheon,Seasonal Roasted Vegetables,,$35/guest (20 minimum)
The Ugly Rooster,https://www.theuglyrooster.com/,1-2-3 Luncheon,Cafe Menu,1-2-3 Luncheon,Sweet Honey Chili or Garlic & Olive Oil Green Beans,,$35/guest (20 minimum)
The Ugly Rooster,https://www.theuglyrooster.com/,1-2-3 Luncheon,Cafe Menu,1-2-3 Luncheon,Garlic Mashed Potatoes,,$35/guest (20 minimum)
The Ugly Rooster,https://www.theuglyrooster.com/,1-2-3 Luncheon,Cafe Menu,1-2-3 Luncheon,Yukon Gold Lemon Parsley Potatoes,,$35/guest (20 minimum)
The Ugly Rooster,https://www.theuglyrooster.com/,1-2-3 Luncheon,Cafe Menu,1-2-3 Luncheon,Potato Salad,,$35/guest (20 minimum)
The Ugly Rooster,https://www.theuglyrooster.com/,1-2-3 Luncheon,Cafe Menu,1-2-3 Luncheon,Pasta Salad,,$35/guest (20 minimum)
The Ugly Rooster,https://www.theuglyrooster.com/,1-2-3 Luncheon,Cafe Menu,1-2-3 Luncheon,Cucumber Feta & Tomato Salad,,$35/guest (20 minimum)
The Ugly Rooster,https://www.theuglyrooster.com/,PRIVATE DINING,Cafe Menu,PRIVATE DINING,Ariel's Favorite Celebrations,,$38/guest* (50 minimum)
The Ugly Rooster,https://www.theuglyrooster.com/,PRIVATE DINING,Cafe Menu,PRIVATE DINING,Pulled Roasted Chicken,"(with bibb lettuce, tomato jam & queso fresco)",$38/guest* (50 minimum)
The Ugly Rooster,https://www.theuglyrooster.com/,PRIVATE DINING,Cafe Menu,PRIVATE DINING,Braised Short Rib,(with pepper salad & manchego),$38/guest* (50 minimum)
The Ugly Rooster,https://www.theuglyrooster.com/,PRIVATE DINING,Cafe Menu,PRIVATE DINING,Seared Shrimp,(with summer slaw & shaved aged cheddar),$38/guest* (50 minimum)
The Ugly Rooster,https://www.theuglyrooster.com/,PRIVATE DINING,Cafe Menu,PRIVATE DINING,Jicama Wrap,"(with cucumber, pickled tomato & grilled)",$38/guest* (50 minimum)
The Ugly Rooster,https://www.theuglyrooster.com/,PRIVATE DINING,Cafe Menu,PRIVATE DINING,Ropa Vieja,(Puerto Rican style pot roast with traditional pairing of white rice),$38/guest* (50 minimum)
The Ugly Rooster,https://www.theuglyrooster.com/,PRIVATE DINING,Cafe Menu,PRIVATE DINING,Pernil,(slow roasted marinated pork shoulder),$38/guest* (50 minimum)
The Ugly Rooster,https://www.theuglyrooster.com/,PRIVATE DINING,Cafe Menu,PRIVATE DINING,Spanish Style Chicken,(with rice),$38/guest* (50 minimum)
The Ugly Rooster,https://www.theuglyrooster.com/,PRIVATE DINING,Cafe Menu,PRIVATE DINING,Spiced Cabbage Salad,,$38/guest* (50 minimum)
The Ugly Rooster,https://www.theuglyrooster.com/,PRIVATE DINING,Cafe Menu,PRIVATE DINING,Chorizo Red Beans and Rice,,$38/guest* (50 minimum)
The Ugly Rooster,https://www.theuglyrooster.com/,PRIVATE DINING,Cafe Menu,PRIVATE DINING,Backyard BBQ,,$45/guest (50 minimum)
The Ugly Rooster,https://www.theuglyrooster.com/,PRIVATE DINING,Cafe Menu,PRIVATE DINING,"Brisket, Sausage & Peppers",,$45/guest (50 minimum)
The Ugly Rooster,https://www.theuglyrooster.com/,PRIVATE DINING,Cafe Menu,PRIVATE DINING,BBQ Bone-In Chicken,,$45/guest (50 minimum)
The Ugly Rooster,https://www.theuglyrooster.com/,PRIVATE DINING,Cafe Menu,PRIVATE DINING,Pulled Pork,,$45/guest (50 minimum)
The Ugly Rooster,https://www.theuglyrooster.com/,PRIVATE DINING,Cafe Menu,PRIVATE DINING,Pasta Salad,,$45/guest (50 minimum)
The Ugly Rooster,https://www.theuglyrooster.com/,PRIVATE DINING,Cafe Menu,PRIVATE DINING,Potato Salad,,$45/guest (50 minimum)
The Ugly Rooster,https://www.theuglyrooster.com/,PRIVATE DINING,Cafe Menu,PRIVATE DINING,Black Bean Salad,(with fire roasted corn and bell pepper),$45/guest (50 minimum)
The Ugly Rooster,https://www.theuglyrooster.com/,PRIVATE DINING,Cafe Menu,PRIVATE DINING,Corn on the Cob,,$45/guest (50 minimum)
The Ugly Rooster,https://www.theuglyrooster.com/,PRIVATE DINING,Cafe Menu,PRIVATE DINING,Coleslaw,,$45/guest (50 minimum)
The Ugly Rooster,https://www.theuglyrooster.com/,PRIVATE DINING,Cafe Menu,PRIVATE DINING,Tossed Salad,,$45/guest (50 minimum)
The Ugly Rooster,https://www.theuglyrooster.com/,PRIVATE DINING,Cafe Menu,PRIVATE DINING,Watermelon Slices,,$45/guest (50 minimum)
The Ugly Rooster,https://www.theuglyrooster.com/,PRIVATE DINING,Cafe Menu,PRIVATE DINING,Mac n' Cheese,,$45/guest (50 minimum)
The Ugly Rooster,https://www.theuglyrooster.com/,PRIVATE DINING,Cafe Menu,PRIVATE DINING,Baked Beans,(with maple bacon),$45/guest (50 minimum)
The Ugly Rooster,https://www.theuglyrooster.com/,Buffet-Style Dining,Cafe Menu,Buffet-Style Dining,Tossed Salad with house vinaigrette,,$38/guest* (25 minimum)
The Ugly Rooster,https://www.theuglyrooster.com/,Buffet-Style Dining,Cafe Menu,Buffet-Style Dining,Caesar Salad,,$38/guest* (25 minimum)
The Ugly Rooster,https://www.theuglyrooster.com/,Buffet-Style Dining,Cafe Menu,Buffet-Style Dining,Chicken Tortilla Soup,,$38/guest* (25 minimum)
The Ugly Rooster,https://www.theuglyrooster.com/,Buffet-Style Dining,Cafe Menu,Buffet-Style Dining,Italian Wedding Soup,,$38/guest* (25 minimum)
The Ugly Rooster,https://www.theuglyrooster.com/,Buffet-Style Dining,Cafe Menu,Buffet-Style Dining,Butternut Squash Bisque,,$38/guest* (25 minimum)
The Ugly Rooster,https://www.theuglyrooster.com/,Buffet-Style Dining,Cafe Menu,Buffet-Style Dining,Ropa Vieja,(with white rice),$38/guest* (25 minimum)
The Ugly Rooster,https://www.theuglyrooster.com/,Buffet-Style Dining,Cafe Menu,Buffet-Style Dining,Roasted Pork Loin,(with brandied apples or pan gravy),$38/guest* (25 minimum)
The Ugly Rooster,https://www.theuglyrooster.com/,Buffet-Style Dining,Cafe Menu,Buffet-Style Dining,Grilled Salmon,(Pesto or maple bourbon BBQ),$38/guest* (25 minimum)
The Ugly Rooster,https://www.theuglyrooster.com/,Buffet-Style Dining,Cafe Menu,Buffet-Style Dining,Chicken Piccata,,$38/guest* (25 minimum)
The Ugly Rooster,https://www.theuglyrooster.com/,Buffet-Style Dining,Cafe Menu,Buffet-Style Dining,Chicken Marsala,,$38/guest* (25 minimum)
The Ugly Rooster,https://www.theuglyrooster.com/,Buffet-Style Dining,Cafe Menu,Buffet-Style Dining,Eggplant Rollatini,,$38/guest* (25 minimum)
The Ugly Rooster,https://www.theuglyrooster.com/,Buffet-Style Dining,Cafe Menu,Buffet-Style Dining,"Sliced, Marinated Flank Steak",(with chimichurri),$38/guest* (25 minimum)
The Ugly Rooster,https://www.theuglyrooster.com/,Buffet-Style Dining,Cafe Menu,Buffet-Style Dining,Beef Brisket,,$38/guest* (25 minimum)
The Ugly Rooster,https://www.theuglyrooster.com/,Buffet-Style Dining,Cafe Menu,Buffet-Style Dining,Vegetarian “Bolognese”,(over couscous),$38/guest* (25 minimum)
The Ugly Rooster,https://www.theuglyrooster.com/,Buffet-Style Dining,Cafe Menu,Buffet-Style Dining,Fire Roasted Corn Salad,,$38/guest* (25 minimum)
The Ugly Rooster,https://www.theuglyrooster.com/,Buffet-Style Dining,Cafe Menu,Buffet-Style Dining,String Beans,(with sweet honey chili sauce),$38/guest* (25 minimum)
The Ugly Rooster,https://www.theuglyrooster.com/,Buffet-Style Dining,Cafe Menu,Buffet-Style Dining,Spanish Style Yellow or Red Beans and Rice,,$38/guest* (25 minimum)
The Ugly Rooster,https://www.theuglyrooster.com/,Buffet-Style Dining,Cafe Menu,Buffet-Style Dining,Our Famous Mac n' Cheese,,$38/guest* (25 minimum)
The Ugly Rooster,https://www.theuglyrooster.com/,Buffet-Style Dining,Cafe Menu,Buffet-Style Dining,Garlic Smashed Potatoes,,$38/guest* (25 minimum)
The Ugly Rooster,https://www.theuglyrooster.com/,Buffet-Style Dining,Cafe Menu,Buffet-Style Dining,Rigatoni,"(pesto, a la vodka or tomato basil cream)",$38/guest* (25 minimum)
The Ugly Rooster,https://www.theuglyrooster.com/,Buffet-Style Dining,Cafe Menu,Buffet-Style Dining,Roasted Sweet Potatoes,(with candied walnuts),$38/guest* (25 minimum)
The Ugly Rooster,https://www.theuglyrooster.com/,Buffet-Style Dining,Cafe Menu,Buffet-Style Dining,Seasonal Roasted Vegetable Medley,,$38/guest* (25 minimum)
The Ugly Rooster,https://www.theuglyrooster.com/,Buffet-Style Dining,Cafe Menu,Buffet-Style Dining,Balsamic Bacon Brussels Sprouts,,$38/guest* (25 minimum)
