restaurant_name,restaurant_url,menu_name,menu_type,section,name,description,price
The West Side Sports Bar & Grill,http://www.thewestsidesportsbar.com/,BREAKFAST,Menu,BREAKFAST,Eggs Anyway:,"Choice of scrambled, over easy, or poached  served with seasoned home fries and choice of white or rye toast. Add-ons: sausage, bacon, or Canadian bacon +$4",$8
The West Side Sports Bar & Grill,http://www.thewestsidesportsbar.com/,BREAKFAST,Menu,BREAKFAST,Biscuits & Gravy:,Chefs homemade gravy and ground sausage with crisp flaky buttermilk biscuits. Add-ons: any choice of eggs +$3,$13
The West Side Sports Bar & Grill,http://www.thewestsidesportsbar.com/,BREAKFAST,Menu,BREAKFAST,Breakfast Sandwich:,"Choice of bread, white, rye, plain bagel, or an English muffin. Choose either sausage, bacon, or Canadian bacon. Topped with a fried egg and your choice of melted cheese",$10
The West Side Sports Bar & Grill,http://www.thewestsidesportsbar.com/,BREAKFAST,Menu,BREAKFAST,Eggs Benedict:,"Poached egg on an english muffin, with spinach, Canadian bacon drizzled in hollandaise sauce, served with seasoned home fries",$12
The West Side Sports Bar & Grill,http://www.thewestsidesportsbar.com/,BREAKFAST,Menu,BREAKFAST,The Hangover Skillet:,"Scrambled eggs, peppers, onions, chopped bacon, shredded cheese blend and seasoned home fries",$12
The West Side Sports Bar & Grill,http://www.thewestsidesportsbar.com/,BREAKFAST,Menu,BREAKFAST,Pancake Trifecta:,3 pancakes with your choice of plain or blueberry smothered in luscious maple syrup and drenched in butter,$14
The West Side Sports Bar & Grill,http://www.thewestsidesportsbar.com/,BREAKFAST,Menu,BREAKFAST,Super Fluffy Omelette:,"Choice of sausage, bacon, or Canadian bacon, between peppers, onions, and topped with shredded cheese blend cooked to perfection. Served with seasoned home fries",$13
The West Side Sports Bar & Grill,http://www.thewestsidesportsbar.com/,BREAKFAST,Menu,BREAKFAST,Flatbread Breakfast Pizza:,"We start with house made cheese sauce drizzled on the crisp flatbread, then layer it with scrambled eggs, chopped bacon, ground sausage, peppers, onions, then smother it with a shredded cheese blend melted over it",$14
The West Side Sports Bar & Grill,http://www.thewestsidesportsbar.com/,BREAKFAST,Menu,BREAKFAST,Breakfast Burrito:,"Choice of sausage, bacon, or Canadian bacon, scrambled eggs, peppers, onions, and shredded cheese blend all wrapped up just the way you like it. Served with seasoned home fries",$13
The West Side Sports Bar & Grill,http://www.thewestsidesportsbar.com/,BREAKFAST,Menu,BREAKFAST,Seasoned home fries,,$3
