restaurant_name,restaurant_url,menu_name,menu_type,section,name,description,price
The Whistling Kettle,https://www.thewhistlingkettle.com/,Sandwiches,Menu,Sandwiches,garden,"roasted red pepper, artichoke heart, spinach, mozzarella, basil pesto aioli on herb foccacia",
The Whistling Kettle,https://www.thewhistlingkettle.com/,Sandwiches,Menu,Sandwiches,ratatouille,"basil pesto, roasted zucchini, squash, tomato, eggplant, onion red pepper, garlic, goat cheese on herb foccacia",
The Whistling Kettle,https://www.thewhistlingkettle.com/,Sandwiches,Menu,Sandwiches,ballstonian,"roasted turkey, bacon, roasted red pepper, basil pesto aioli, mozzarella on ciabatta",
The Whistling Kettle,https://www.thewhistlingkettle.com/,Sandwiches,Menu,Sandwiches,"turkey, cranberry, & brie","roasted turkey, brie, cranberry sauce on ciabatta",
The Whistling Kettle,https://www.thewhistlingkettle.com/,Sandwiches,Menu,Sandwiches,"apricot, ham, & brie","bacon, ham, apricot jam, brie on ciabatta",
The Whistling Kettle,https://www.thewhistlingkettle.com/,Sandwiches,Menu,Sandwiches,turkey avocado,"roasted turkey, mozzarella, guacamole, tomato, sundried tomato pesto on herb foccaccia",
The Whistling Kettle,https://www.thewhistlingkettle.com/,Sandwiches,Menu,Sandwiches,buffalo chicken,"chicken, bacon, spinach, buffalo hot sauce, bleu cheese on ciabatta",
The Whistling Kettle,https://www.thewhistlingkettle.com/,Sandwiches,Menu,Sandwiches,chipotle chicken,"chicken, spinach, tomato, chipotle sauce, mozzarella on ciabatta",
The Whistling Kettle,https://www.thewhistlingkettle.com/,Sandwiches,Menu,Sandwiches,"apple, bacon, & 3 cheese","green apple, bacon, brie, mozzarella, bleu cheese, honey on ciabatta",
The Whistling Kettle,https://www.thewhistlingkettle.com/,Sandwiches,Menu,Sandwiches,eggplant,"breaded & fried eggplant, mozzarella, roasted red peppers, spinach, sundried tomato pesto on focaccia (contains nuts)",
The Whistling Kettle,https://www.thewhistlingkettle.com/,Sandwiches,Menu,Sandwiches,club sandwich,"roasted turkey, bacon, greens, mozzarella, tomato, garlic aioli on toasted wheat",
The Whistling Kettle,https://www.thewhistlingkettle.com/,Scone-wich,Menu,Scone-wich,blt,"brie, mozzarella, bacon, lettuce, tomato, pesto aioli",
The Whistling Kettle,https://www.thewhistlingkettle.com/,Scone-wich,Menu,Scone-wich,ham & swiss,"ham, swiss, apricot jam",
The Whistling Kettle,https://www.thewhistlingkettle.com/,Scone-wich,Menu,Scone-wich,tomato & arugula,"tomato, arugula, fresh mozzarella, basil pesto, balsamic glaze",
