restaurant_name,restaurant_url,menu_name,menu_type,section,name,description,price
Thirsty Owl Saratoga,http://www.thirstyowlsaratoga.com/,Starters,Menu,Starters,CHARCUTERIE*,Selection of specialty cheeses & cured meats,FOR TWO: $25 | FOR FOUR: $45
Thirsty Owl Saratoga,http://www.thirstyowlsaratoga.com/,Starters,Menu,Starters,WARM MEDITERRANEAN OLIVES*,"Warm sizzling olives, sautéed in garlic and olive oil, served with grilled pita and tapenade",FOR TWO: $18 | FOR FOUR: $32
Thirsty Owl Saratoga,http://www.thirstyowlsaratoga.com/,Starters,Menu,Starters,SOUP OF THE DAY,,CUP: $8 | BOWL: $11
Thirsty Owl Saratoga,http://www.thirstyowlsaratoga.com/,Starters,Menu,Starters,CRAB AND CORN CHOWDER (GF),,CUP: $9 | BOWL: $12
Thirsty Owl Saratoga,http://www.thirstyowlsaratoga.com/,Small Plates,Menu,Small Plates,PRETZEL STICKS,Served with a creamy cheese sauce,$15
Thirsty Owl Saratoga,http://www.thirstyowlsaratoga.com/,Small Plates,Menu,Small Plates,MOZZARELLA STICKS,Served with marinara sauce,$15
Thirsty Owl Saratoga,http://www.thirstyowlsaratoga.com/,Small Plates,Menu,Small Plates,CRAB CAKES,Served over greens with remoulade sauce,$22
Thirsty Owl Saratoga,http://www.thirstyowlsaratoga.com/,Small Plates,Menu,Small Plates,PORK BELLY MUSSELS,Finished in a garlic cream sauce and topped with crispy pork belly,$17
Thirsty Owl Saratoga,http://www.thirstyowlsaratoga.com/,Small Plates,Menu,Small Plates,DUCK DRUMMERS,"Duck wings topped with a sweet thai chili sauce, served over mixed greens",$22
Thirsty Owl Saratoga,http://www.thirstyowlsaratoga.com/,Small Plates,Menu,Small Plates,BANG BANG SHRIMP,"Jumbo shrimp lightly fried and tossed with a sriracha aioli, served over mixed greens",$19
Thirsty Owl Saratoga,http://www.thirstyowlsaratoga.com/,Small Plates,Menu,Small Plates,FRIED CALAMARI TWO WAYS,"Lightly fried and served with marinara sauce OR banana peppers, pork belly, & sriracha aioli",$19
Thirsty Owl Saratoga,http://www.thirstyowlsaratoga.com/,Small Plates,Menu,Small Plates,BOURBON SCALLOPS TWO WAYS,"Pan seared, lightly cajuned jumbo scallops served over fried spinach, topped with a bourbon cream sauce OR corn-pork belly hash",$24
Thirsty Owl Saratoga,http://www.thirstyowlsaratoga.com/,Bowls,Menu,Bowls,CLASSIC CAESAR SALAD,"Romaine, Asiago cheese, and garlic croutons tossed in our own creamy Caesar dressing",$16
Thirsty Owl Saratoga,http://www.thirstyowlsaratoga.com/,Bowls,Menu,Bowls,BEET AND WALNUT SALAD (GF),"Fresh baby spinach, sliced beets, walnuts, and feta cheese in a balsamic vinaigrette",$18
Thirsty Owl Saratoga,http://www.thirstyowlsaratoga.com/,Bowls,Menu,Bowls,APPLE QUINOA SALAD (GF),"Mixed greens, quinoa, sliced apple, dried cranberries, and gorgonzola cheese in a apple-maple vinaigrette",$18
Thirsty Owl Saratoga,http://www.thirstyowlsaratoga.com/,Bowls,Menu,Bowls,CLASSIC FIELD GREENS SALAD (GF),"Mixed greens, cucumbers, cherry tomatoes, carrots, and marinated onions in a balsamic vinaigrette",$15
Thirsty Owl Saratoga,http://www.thirstyowlsaratoga.com/,Lunch Favorites,Menu,Lunch Favorites,VEGGIE FLATBREAD (GF),"Cauliflower flatbread topped with spinach, roasted red pepper, artichokes, and mozzarella cheese with a balsamic glaze
Add chicken $4",$18
