restaurant_name,restaurant_url,menu_name,menu_type,section,name,description,price
Thorn + Roots,https://www.thornandroots.com/,FAMILY STYLE + PARTY BOXES,Menu,FAMILY STYLE + PARTY BOXES,PANINIS PARTY BOX,SERVES 12. Choice of 3 of our pressed to order speciality paninis all cut and ready for your next big party. Choose 3 varieties to please the crowd!,$138.00
Thorn + Roots,https://www.thornandroots.com/,FAMILY STYLE + PARTY BOXES,Menu,FAMILY STYLE + PARTY BOXES,SALAD + GRAIN BOWLS PARTY BOX,"SERVES 8. Choice of 2 of our half size salads + grain bowls, boxed and ready for your next big party. Choose 2 varieties to please the crowd!",$115.00
Thorn + Roots,https://www.thornandroots.com/,FAMILY STYLE + PARTY BOXES,Menu,FAMILY STYLE + PARTY BOXES,SMOOTHIE BOWL PARTY BOX,SERVES 12. Choice of 3 of our FAMOUS smoothie bowls - ready for your next big party. Choose 3 varieties to please the crowd!,$204.00
Thorn + Roots,https://www.thornandroots.com/,FAMILY STYLE + PARTY BOXES,Menu,FAMILY STYLE + PARTY BOXES,TOAST PARTY BOX,SERVES 8. Choice of 2 of our famous speciality toasts all cut and ready for your next big party. Choose 2 varieties to please the crowd!,$70.00
Thorn + Roots,https://www.thornandroots.com/,FAMILY STYLE GRAIN BOWLS + SALADS,Menu,FAMILY STYLE GRAIN BOWLS + SALADS,SMOKED SALMON GRAIN BOWL (FAMILY STYLE),SERVES 8: Spinach + Quinoa + Smoked Salmon + Pickled Onions + Hard-Boiled Egg + Avocado + Cherry Tomatoes + Capers + Black Sesame Seeds + Lemon Citronette,$179.50
Thorn + Roots,https://www.thornandroots.com/,FAMILY STYLE GRAIN BOWLS + SALADS,Menu,FAMILY STYLE GRAIN BOWLS + SALADS,SANTA FE CHICKEN GRAIN BOWL (FAMILY STYLE),SERVES 8: Roasted Chicken + Quinoa + Avocado + Roasted Corn / Black Bean Salsa + Cherry Tomatoes + Roasted Peppers + Feta + Pickled Onions + Pepitas + Chipotle Vinaigrette,$162.50
Thorn + Roots,https://www.thornandroots.com/,FAMILY STYLE GRAIN BOWLS + SALADS,Menu,FAMILY STYLE GRAIN BOWLS + SALADS,MEDITERRANEAN GRAIN BOWL (FAMILY STYLE),SERVES 8: Quinoa + Baby Kale + Chickpea Salad + Kalamata Olives + Cherry Tomatoes + Avo + Feta + Hummus + Tzatziki + Greek Vinaigrette / EVOO,$160.00
Thorn + Roots,https://www.thornandroots.com/,FAMILY STYLE GRAIN BOWLS + SALADS,Menu,FAMILY STYLE GRAIN BOWLS + SALADS,GARDEN HARVEST GRAIN BOWL (FAMILY STYLE),Arugula + Quinoa + Pickled Onions + Cherry Tomatoes + Olives + Roasted Red Peppers + Hummus + Avocado + Pepitas + Green Goddess Dressing,$148.00
Thorn + Roots,https://www.thornandroots.com/,FAMILY STYLE GRAIN BOWLS + SALADS,Menu,FAMILY STYLE GRAIN BOWLS + SALADS,BUFFALO CHICKEN COBB SALAD (FAMILY STYLE),SERVES 8: Mixed Greens + Buffalo Chicken + Pickled Onions + Hard-Boiled Egg + Harissa Bacon + Cherry Tomatoes + Roasted Corn / Black Bean Salsa + Blue Cheese + Avocado + Green Goddess Dressing,$155.00
Thorn + Roots,https://www.thornandroots.com/,FAMILY STYLE GRAIN BOWLS + SALADS,Menu,FAMILY STYLE GRAIN BOWLS + SALADS,CHICKEN BLT CAESAR SALAD (FAMILY STYLE),SERVES 8: Roasted Chicken + Baby Kale + Harissa Bacon + Cherry Tomatoes + Shaved Parmesan + Candied Walnuts + Sourdough Croutons + Tahini Caesar Dressing,$155.00
