restaurant_name,restaurant_url,menu_name,menu_type,section,location,name,description,price
Uncommon Grounds,http://www.uncommongrounds.com/,Saratoga Springs - Bagels:,Menu,Bagels:,Saratoga Springs,Bagels,"Plain, Sesame, Poppy, Everything, Cinnamon Raisin, Honey Wheat, Onion, Garlic, Rosemary Olive, Jalapeno, Pumpernickel, Oat Bran, Salt, Cheddar-Parm",Single $1.25 | Half Dozen $6.75 | Baker's Dozen $11.50
Uncommon Grounds,http://www.uncommongrounds.com/,Saratoga Springs - Bagel with…,Menu,Bagel with…,Saratoga Springs,Cream Cheese,,$3.00
Uncommon Grounds,http://www.uncommongrounds.com/,Saratoga Springs - Bagel with…,Menu,Bagel with…,Saratoga Springs,Schmear of Cream Cheese,,$2.50
Uncommon Grounds,http://www.uncommongrounds.com/,Saratoga Springs - Bagel with…,Menu,Bagel with…,Saratoga Springs,Butter,,$2.05
Uncommon Grounds,http://www.uncommongrounds.com/,Saratoga Springs - Bagel with…,Menu,Bagel with…,Saratoga Springs,Schmear Hummus,,$4.60
Uncommon Grounds,http://www.uncommongrounds.com/,Saratoga Springs - Bagel with…,Menu,Bagel with…,Saratoga Springs,Peanut Butter,,$2.85
Uncommon Grounds,http://www.uncommongrounds.com/,Saratoga Springs - Bagel with…,Menu,Bagel with…,Saratoga Springs,Peanut Butter & Jelly,,$4.00
Uncommon Grounds,http://www.uncommongrounds.com/,Saratoga Springs - Bagel Sandwiches:,Menu,Bagel Sandwiches:,Saratoga Springs,BLT,"Bacon, Lettuce, Tomato, and Mayo",$6.30
Uncommon Grounds,http://www.uncommongrounds.com/,Saratoga Springs - Bagel Sandwiches:,Menu,Bagel Sandwiches:,Saratoga Springs,Flying Pig,"Turkey, Lettuce, Tomato, Onion, Bacon, Monterey Jack, and Mayo",$9.20
Uncommon Grounds,http://www.uncommongrounds.com/,Saratoga Springs - Bagel Sandwiches:,Menu,Bagel Sandwiches:,Saratoga Springs,"Winner, Winner","Chicken Salad, Lettuce, Tomato, Provolone, and Sprouts",$8.30
Uncommon Grounds,http://www.uncommongrounds.com/,Saratoga Springs - Bagel Sandwiches:,Menu,Bagel Sandwiches:,Saratoga Springs,Healthy Harvest,"Lettuce, Tomato, Cucumber, Green Pepper, Onion, and Sprouts",$5.95
Uncommon Grounds,http://www.uncommongrounds.com/,Saratoga Springs - Bagel Sandwiches:,Menu,Bagel Sandwiches:,Saratoga Springs,Lox of Love,"Smoked Salmon, Cream Cheese, Onion, and Capers",$10.35
Uncommon Grounds,http://www.uncommongrounds.com/,Saratoga Springs - Bagel Sandwiches:,Menu,Bagel Sandwiches:,Saratoga Springs,Avocado Toast,"Top half of any bagel, toasted, with avocado, red pepper flakes, black sesame seeds, olive oil and a lemon slice",$4.95
Uncommon Grounds,http://www.uncommongrounds.com/,Saratoga Springs - Create Your Own….,Menu,Create Your Own….,Saratoga Springs,Finishing Touches,", Avocado (",$1.75
Uncommon Grounds,http://www.uncommongrounds.com/,Saratoga Springs - Create Your Own….,Menu,Create Your Own….,Saratoga Springs,+,"), Avocado (",$1.75
Uncommon Grounds,http://www.uncommongrounds.com/,Saratoga Springs - Create Your Own….,Menu,Create Your Own….,Saratoga Springs,+,"), Avocado (+)",$1.75
Uncommon Grounds,http://www.uncommongrounds.com/,Saratoga Springs - Bagel Breakfast Sandwich:,Menu,Bagel Breakfast Sandwich:,Saratoga Springs,Scramble Egg,,$3.75
Uncommon Grounds,http://www.uncommongrounds.com/,Saratoga Springs - Bagel Breakfast Sandwich:,Menu,Bagel Breakfast Sandwich:,Saratoga Springs,With Cheese,,$4.50
Uncommon Grounds,http://www.uncommongrounds.com/,Saratoga Springs - Bagel Breakfast Sandwich:,Menu,Bagel Breakfast Sandwich:,Saratoga Springs,"With Bacon, Sausage, or Ham",,$5.60
Uncommon Grounds,http://www.uncommongrounds.com/,Saratoga Springs - Bagel Breakfast Sandwich:,Menu,Bagel Breakfast Sandwich:,Saratoga Springs,The Mediterranean,"Egg, Spinach, Tomato, Avocado, and Pesto",$6.20
Uncommon Grounds,http://www.uncommongrounds.com/,Saratoga Springs - Bagel Breakfast Sandwich:,Menu,Bagel Breakfast Sandwich:,Saratoga Springs,The Western,"Egg, Ham, Green Pepper, Onion, and Cheddar",$6.20
Uncommon Grounds,http://www.uncommongrounds.com/,Saratoga Springs - Bagel Breakfast Sandwich:,Menu,Bagel Breakfast Sandwich:,Saratoga Springs,The Lumberjack,"Two Eggs, Sausage, Bacon, American Cheese, and Maple Syrup",$7.45
Uncommon Grounds,http://www.uncommongrounds.com/,Saratoga Springs - Salads,Menu,Salads,Saratoga Springs,Greek,,$6.85
Uncommon Grounds,http://www.uncommongrounds.com/,Saratoga Springs - Salads,Menu,Salads,Saratoga Springs,Caesar,,$6.85
Uncommon Grounds,http://www.uncommongrounds.com/,Saratoga Springs - Salads,Menu,Salads,Saratoga Springs,Garden,,$6.85
Uncommon Grounds,http://www.uncommongrounds.com/,Saratoga Springs - Salads,Menu,Salads,Saratoga Springs,Add Protein,"Grilled Chicken, Hummus, Tuna Salad (house-made), Chicken Salad (house-made)",$2.50
Uncommon Grounds,http://www.uncommongrounds.com/,Saratoga Springs - Soup,Menu,Soup,Saratoga Springs,Soup,Soup served with house-made bagel chips or oyster crackers. Soup selections vary daily.,Cup $4.99 | Bowl $5.99
Uncommon Grounds,http://www.uncommongrounds.com/,Saratoga Springs - Hot Drinks,Menu,Hot Drinks,Saratoga Springs,Coffee “for here”,,$2.00
Uncommon Grounds,http://www.uncommongrounds.com/,Saratoga Springs - Hot Drinks,Menu,Hot Drinks,Saratoga Springs,Vanilla Latte,,Small $3.90 | Medium $4.60 | Large $4.90
Uncommon Grounds,http://www.uncommongrounds.com/,Saratoga Springs - Hot Drinks,Menu,Hot Drinks,Saratoga Springs,Caramel Latte,,Small $3.90 | Medium $4.60 | Large $4.90
