restaurant_name,restaurant_url,section,name,description,price
West Avenue Pizzeria,https://www.westavepizza.com/,Monday Special,Pizza Night Monday Special,Large 18” Cheese Pizza. Monday only!,$12.99
West Avenue Pizzeria,https://www.westavepizza.com/,Monday Special,Pizza & Boneless Wings Monday Special,Large 18” Cheese Pizza & 10 Boneless Wings. Monday only!,Monday Special Boneless $19.99 | Monday Special Bone In $22.99
West Avenue Pizzeria,https://www.westavepizza.com/,Wednesday Special,Sub-Sational! Any Two Subs Wednesday Special,Steak or shrimp sub for an additional charge. Wednesday only!,$17.99
West Avenue Pizzeria,https://www.westavepizza.com/,Thursday Special,Pasta Party Thrusday Special,"Choose 2 from spaghetti with meatballs, baked ziti, manicotti, stuffed shells, cheese ravioli, or lasagna. Served with salad and bread. Thursday only!",$19.99
West Avenue Pizzeria,https://www.westavepizza.com/,Appetizers,Mozzarella Sticks,"Deep-fried cheese sticks. Crispy on the outside, gooey on the inside. Virtually guaranteed to be a table favorite! Served with a side of marinara sauce.",$9.99
West Avenue Pizzeria,https://www.westavepizza.com/,Appetizers,4 Cheese Quesadilla,"Romano, mozzarella, cheddar & parmesan.",$10.99
West Avenue Pizzeria,https://www.westavepizza.com/,Appetizers,Grilled Chicken Quesadilla,Marinated chicken & cheeses.,$12.49
West Avenue Pizzeria,https://www.westavepizza.com/,Appetizers,Cheddar Fries,Served with cheddar dipping sauce.,$7.99
West Avenue Pizzeria,https://www.westavepizza.com/,Appetizers,Jalapeno Poppers,Served with a side of creamy ranch.,$10.49
West Avenue Pizzeria,https://www.westavepizza.com/,Appetizers,Onion Rings,Beer battered & fried until golden.,$8.49
West Avenue Pizzeria,https://www.westavepizza.com/,Appetizers,Macaroni & Cheese Bites,Served with a side of creamy ranch.,$10.49
West Avenue Pizzeria,https://www.westavepizza.com/,Appetizers,Fried Ravioli,,$10.49
West Avenue Pizzeria,https://www.westavepizza.com/,Appetizers,Breaded Mushrooms,,$10.49
West Avenue Pizzeria,https://www.westavepizza.com/,Appetizers,Fried Calamari,"Flash fried squid, crunchy on the outside and simply perfect on the inside. Kick it up a notch with a squeeze of lemon.",$13.49
West Avenue Pizzeria,https://www.westavepizza.com/,Appetizers,Garlic Bread,"Bread, topped with garlic, herb seasoning, baked to perfection.",$5.99
West Avenue Pizzeria,https://www.westavepizza.com/,Appetizers,Sicilian Garlic Bread,Sliced tomato and mozzarella.,$7.49
West Avenue Pizzeria,https://www.westavepizza.com/,Appetizers,Garlic Knots,"A classic snack, our garlic knots are strips of pizza dough tied in a knot, baked, and then topped with melted butter, garlic, and parsley.",$9.99
West Avenue Pizzeria,https://www.westavepizza.com/,Appetizers,West  Ave Sampler,"Mozzarella sticks, jalapeno poppers, onion rings, breaded mushrooms, chicken tenders, macaroni & cheese bites, & fried ravioli served with your choice of 2 sauces.",$18.99
West Avenue Pizzeria,https://www.westavepizza.com/,Appetizers,Chicken Tenders,Served with fries and BBQ sauce,$12.49
West Avenue Pizzeria,https://www.westavepizza.com/,Appetizers,French Fries,"Our delicious French fries are deep-fried 'till golden brown, with a crunchy exterior and a light fluffy interior. Seasoned to perfection!",$6.99
West Avenue Pizzeria,https://www.westavepizza.com/,Appetizers,Mozzarella Sticks,,$10.49
West Avenue Pizzeria,https://www.westavepizza.com/,Appetizers,French Fries With Cheese,,$7.99
West Avenue Pizzeria,https://www.westavepizza.com/,Soups & Salad,Homemade Soup of the day (Bowl),,$5.99
West Avenue Pizzeria,https://www.westavepizza.com/,Soups & Salad,Garden Salad,"Lettuce, tomato, cucumber, onion & black olives.",Small $6.25 | Large $8.50
West Avenue Pizzeria,https://www.westavepizza.com/,Soups & Salad,Caesar Salad,"Romaine lettuce, homemade Caesar dressing & croutons.",$10.99
West Avenue Pizzeria,https://www.westavepizza.com/,Soups & Salad,Caesar Salad w/Chicken,,$13.99
West Avenue Pizzeria,https://www.westavepizza.com/,Soups & Salad,Greek Salad,Our garden salad is topped with feta cheese.,$11.99
West Avenue Pizzeria,https://www.westavepizza.com/,Soups & Salad,Chef Salad,"Turkey, ham, roast beef & American cheese, on top of lettuce, tomato, cucumber, onion & black olives.",$11.99
West Avenue Pizzeria,https://www.westavepizza.com/,Soups & Salad,Antipasto Salad,"Salami, pepperoni, giardiniera, capicola & provolone cheese, on top of lettuce, tomato, cucumber, onion & black olives.",$11.99
West Avenue Pizzeria,https://www.westavepizza.com/,Soups & Salad,Grilled Chicken Salad,"Fresh grilled chicken, lettuce, tomato, cucumber, onion & black olives.",$12.99
