restaurant_name,restaurant_url,section,location,name,description,price
Wheatfields Restaurant & Bar,http://www.wheatfields.com/,Starters,Saratoga,House Bread,"(herbed whipped butter, Saratoga olive oil)",$4.00
Wheatfields Restaurant & Bar,http://www.wheatfields.com/,Starters,Saratoga,Whipped Ricotta,"(lemon zest, Italian bread)",$9.00
Wheatfields Restaurant & Bar,http://www.wheatfields.com/,Starters,Saratoga,White Bean Spread,"(Italian herbs, citrus, EVOO, toast points)",$9.00
Wheatfields Restaurant & Bar,http://www.wheatfields.com/,Starters,Saratoga,Bruschetta,"(marinated tomato, parmesan, toast points, balsamic drizzle)",$13.00
Wheatfields Restaurant & Bar,http://www.wheatfields.com/,Starters,Saratoga,Sweet & Sour Calamari,"(Thai Chili sauce, sriracha, scallion)",$16.00
Wheatfields Restaurant & Bar,http://www.wheatfields.com/,Starters,Saratoga,Meatball Trio,"(hand-rolled, marinara, pesto, alfredo)",$15.00
Wheatfields Restaurant & Bar,http://www.wheatfields.com/,Starters,Saratoga,Eggplant Stack,"(fresh mozzarella, tomato, pesto, balsamic)",$16.00
Wheatfields Restaurant & Bar,http://www.wheatfields.com/,Starters,Saratoga,Truffle Frites Basket,"(parmesan, parsley, garlic aioli)",$11.00
Wheatfields Restaurant & Bar,http://www.wheatfields.com/,Starters,Saratoga,Arancini,"(sun-dried tomato, artichoke, alfredo)",$13.00
Wheatfields Restaurant & Bar,http://www.wheatfields.com/,Starters,Saratoga,Antipasti,"(for 2, Italian Meats, provolone, bruschetta, olives, roasted red pepper)",$19.00
Wheatfields Restaurant & Bar,http://www.wheatfields.com/,Greens,Saratoga,Caprese,"(vine-ripe tomato, fresh mozzarella, basil, EVOO, balsamic glaze)",$15.00
Wheatfields Restaurant & Bar,http://www.wheatfields.com/,Greens,Saratoga,Classic Caesar,"(romaine hearts, shaved parmesan, herb croutons)",$12.00 | $18.00
Wheatfields Restaurant & Bar,http://www.wheatfields.com/,Greens,Saratoga,Market Salad,"(green/red leaf, batavia lettuces, tomato, cucumber, carrot, citrus vinaigrette)",$12.00 | $18.00
Wheatfields Restaurant & Bar,http://www.wheatfields.com/,Greens,Saratoga,Chicken Chopped,"(romaine, chickpea, tomato, pancetta, cucumber, crumbled blue cheese, crostini, citrus vinaigrette)",$21.00
Wheatfields Restaurant & Bar,http://www.wheatfields.com/,Greens,Saratoga,Salmon Seasonal Bowl,"(spinach, baby kale, quinoa, brown rice, cucumber, beets, toasted pistachio, peppadew vinaigrette)",$25.00
Wheatfields Restaurant & Bar,http://www.wheatfields.com/,Handhelds,Saratoga,Veg Panini,"(zucchini, squash, roasted peppers, mixed greens, white bean spread)",$20.00
Wheatfields Restaurant & Bar,http://www.wheatfields.com/,Handhelds,Saratoga,Chicken Caesar Wrap,"(romaine, parmesan, house made caesar dressing)",$18.00
Wheatfields Restaurant & Bar,http://www.wheatfields.com/,Handhelds,Saratoga,Bruschetta Chicken Wrap,"(marinated tomato, basil, greens, EVOO, balsamic glaze)",$18.00
Wheatfields Restaurant & Bar,http://www.wheatfields.com/,Handhelds,Saratoga,Italian Panini,"(pepperoni, sopressata, pancetta, provolone, tomato, garlic aioli)",$22.00
Wheatfields Restaurant & Bar,http://www.wheatfields.com/,Handhelds,Saratoga,Aged Cheddar Burger,"GF Bun 2 ((8oz, brioche bun, LTO, truffle fries, garlic aioli))",$19.00
Wheatfields Restaurant & Bar,http://www.wheatfields.com/,House-Made Pasta,Saratoga,Pesto Radiatori,"add sautéed chicken or Italian sausage 5, shrimp 6 ((pesto, evoo, parmesan, marinated tomato, radiatori))",$21.00
Wheatfields Restaurant & Bar,http://www.wheatfields.com/,House-Made Pasta,Saratoga,Wheatfields “Mac”,"add sautéed chicken or Italian sausage 5, shrimp 6 ((aged cheddar, mozzarella, parmesan, cream, toasted breadcrumbs, radiatori pasta))",$23.00
Wheatfields Restaurant & Bar,http://www.wheatfields.com/,House-Made Pasta,Saratoga,Classic Linguine Clams,"(littlenecks, white wine, garlic, lemon, butter, parsley)",MKT
Wheatfields Restaurant & Bar,http://www.wheatfields.com/,House-Made Pasta,Saratoga,Sautéed Shrimp and Spinach,"(marinated tomato, lemon garlic wine, fresh parsley, angel hair)",$29.00
Wheatfields Restaurant & Bar,http://www.wheatfields.com/,House-Made Pasta,Saratoga,Riggi,"(sautéed chicken, hot cherry pepper, bell pepper, wild mushrooms, pink sauce, tossed over Ziti)",$28.00
Wheatfields Restaurant & Bar,http://www.wheatfields.com/,House-Made Pasta,Saratoga,Scarpetta,"(sautéed Italian sausage, chicken, bell peppers, marsala wine, Ziti)",$28.00
Wheatfields Restaurant & Bar,http://www.wheatfields.com/,House-Made Pasta,Saratoga,Broadway “Bolo”,"(slow cooked beef, veal, pork, herbs, vegetables, touch of cream, Tagliatelle)",$27.00
Wheatfields Restaurant & Bar,http://www.wheatfields.com/,House-Made Pasta,Saratoga,Famous 1lb Lasagna,"add Bolo topping 5 ((layered egg pasta sheets, ricotta, parmesan, mozzarella, beef, pork, basil, marinara))",$25.00
Wheatfields Restaurant & Bar,http://www.wheatfields.com/,Entrees,Saratoga,Eggplant Rollatini,"(ricotta, spinach, parmesan, mozzarella, seasonal vegetables)",$28.00
Wheatfields Restaurant & Bar,http://www.wheatfields.com/,Entrees,Saratoga,Pan Seared Scallops,"(white wine, lemon butter, roasted tomato, caper, snap pea risotto)",MKT
Wheatfields Restaurant & Bar,http://www.wheatfields.com/,Entrees,Saratoga,Pesto Salmon,"(grilled, snap pea risotto, seasonal vegetable)",$38.00
Wheatfields Restaurant & Bar,http://www.wheatfields.com/,Entrees,Saratoga,Burrata Ravioli,"(fresh basil, house marinara, shaved parmesan)",$29.00
Wheatfields Restaurant & Bar,http://www.wheatfields.com/,Entrees,Saratoga,NY Strip Steak,"(12oz grilled, mushroom risotto, seasonal vegetables, port wine demi-glace)",$39.00
Wheatfields Restaurant & Bar,http://www.wheatfields.com/,Entrees “Pollo Alla”,Saratoga,Milanese,"(pan seared, panko encrusted, lemon butter, roasted tomato, parmesan, arugula garnish)",$28.00
Wheatfields Restaurant & Bar,http://www.wheatfields.com/,Entrees “Pollo Alla”,Saratoga,Parmigiana,"(herbed breaded, provolone, mozzarella, house marinara, Linguini)",$28.00
Wheatfields Restaurant & Bar,http://www.wheatfields.com/,Entrees “Pollo Alla”,Saratoga,Marsala,"(floured, pan sautéed, wild mushrooms, marsala butter wine sauce, Linguini)",$28.00
Wheatfields Restaurant & Bar,http://www.wheatfields.com/,Hand Stretched Woodstone Pizza,Saratoga,Margherita,"(fire roasted tomato, fresh mozzarella, basil, garlic oil)",$16.00
Wheatfields Restaurant & Bar,http://www.wheatfields.com/,Hand Stretched Woodstone Pizza,Saratoga,Chicken Bruschetta,"(marinated tomato, mozzarella, balsamic glaze)",$18.00
Wheatfields Restaurant & Bar,http://www.wheatfields.com/,Hand Stretched Woodstone Pizza,Saratoga,Pepperoni,"(house marinara, mozzarella, basil)",$18.00
Wheatfields Restaurant & Bar,http://www.wheatfields.com/,Hand Stretched Woodstone Pizza,Saratoga,White,"(whipped ricotta, Pecorino-Romano, arugula, chili flakes)",$19.00
Wheatfields Restaurant & Bar,http://www.wheatfields.com/,Hand Stretched Woodstone Pizza,Saratoga,Italian Sausage,"(house marinara, roasted red pepper, provolone, mozzarella, arugula)",$18.00
Wheatfields Restaurant & Bar,http://www.wheatfields.com/,Sides,Saratoga,"Meatballs, Marinara",,$10.00
Wheatfields Restaurant & Bar,http://www.wheatfields.com/,Sides,Saratoga,Seasonal Vegetable,,$8.00
Wheatfields Restaurant & Bar,http://www.wheatfields.com/,Sides,Saratoga,Fresh Pasta,"Choice of Marinara, Alfredo, Butter or EVOO",$9.00
