restaurant_name,restaurant_url,menu_name,menu_type,section,name,description,price
Wind Chill Factory,https://www.windchillfactory.com/,FRESH HAND-PACKED BURGERS,Menu,FRESH HAND-PACKED BURGERS,HAMBURGER OR VEGGIE,,Single $6.95 | Double $8.76
Wind Chill Factory,https://www.windchillfactory.com/,FRESH HAND-PACKED BURGERS,Menu,FRESH HAND-PACKED BURGERS,CHEESEBURGER,,Single +$.80¢ | Double +$1.30
Wind Chill Factory,https://www.windchillfactory.com/,FRESH HAND-PACKED BURGERS,Menu,FRESH HAND-PACKED BURGERS,BACON,,Single +$1.50 | Double +$1.50
Wind Chill Factory,https://www.windchillfactory.com/,FRESH HAND-PACKED BURGERS,Menu,FRESH HAND-PACKED BURGERS,MICHIGAN BURGER,,Single +$1.00 | Double +$1.00
Wind Chill Factory,https://www.windchillfactory.com/,FRESH HAND-PACKED BURGERS,Menu,FRESH HAND-PACKED BURGERS,MUSHROOM & SWISS BURGER,,Single +$1.30 | Double +$1.80
Wind Chill Factory,https://www.windchillfactory.com/,SPECIALITY SANDWICHES,Menu,SPECIALITY SANDWICHES,PHILLY CHEESE STEAK,"100% Angus Shaved Beef Piled High w/ Sautéed Mushrooms, Onions, and Green Peppers, Smothered in Cheese on an 8"" Hoagie",$13.95
Wind Chill Factory,https://www.windchillfactory.com/,SPECIALITY SANDWICHES,Menu,SPECIALITY SANDWICHES,CHICKEN CHEESE STEAK,"Grilled Chicken Breast Piled High w/ Sautéed Mushrooms, Onions, and Green Peppers, Smothered in Cheese on an 8"" Hoagie",$13.95
Wind Chill Factory,https://www.windchillfactory.com/,SPECIALITY SANDWICHES,Menu,SPECIALITY SANDWICHES,"SAUSAGE, PEPPERS & ONIONS","Grilled Sausage Link Piled High w/ Sautéed Peppers & Onions on a Fresh 8"" Hoagie",$10.95
Wind Chill Factory,https://www.windchillfactory.com/,SPECIALITY SANDWICHES,Menu,SPECIALITY SANDWICHES,PULLED PORK SANDWICH,Lean Pork Served w/ Coleslaw,$9.95
Wind Chill Factory,https://www.windchillfactory.com/,SPECIALITY SANDWICHES,Menu,SPECIALITY SANDWICHES,BLT,"6 Full Slices of Bacon w/ Lettuce, Tomato, & Hellmann's Mayo",$8.95
Wind Chill Factory,https://www.windchillfactory.com/,SEAFOOD,Menu,SEAFOOD,FISH FILET SANDWICH,Lightly Breaded Cod Filet on a Buttered Roll w/ Crisp Lettuce and Rich Tartar Sauce,$10.95
Wind Chill Factory,https://www.windchillfactory.com/,SEAFOOD,Menu,SEAFOOD,FISH & CHIPS,Freshly Breaded Cod w/ Your Choice of Fries,$17.95
Wind Chill Factory,https://www.windchillfactory.com/,SEAFOOD,Menu,SEAFOOD,CLAM BASKET W/ FRIES,Tender & Crunchy Clam Strips Fried to Perfection,$15.95
Wind Chill Factory,https://www.windchillfactory.com/,SEAFOOD,Menu,SEAFOOD,SHRIMP BASKET W/ FRIES,"8 Butterfly Shrimp - Crisp, Plump, & Golden Brown",$16.95
Wind Chill Factory,https://www.windchillfactory.com/,SEAFOOD,Menu,SEAFOOD,SCALLOP BASKET W/ FRIES,Lightly Fried to Golden Brown,$17.95
Wind Chill Factory,https://www.windchillfactory.com/,SEAFOOD,Menu,SEAFOOD,SEAFOOD SAMPLER W/ FRIES,"Freshly Breaded Cod, Clam Strips, Shrimp, & Scallops",$20.95
Wind Chill Factory,https://www.windchillfactory.com/,FRENCH FRIES,Menu,FRENCH FRIES,SHOESTRING FRIES,Light & Crispy,$4.99
Wind Chill Factory,https://www.windchillfactory.com/,FRENCH FRIES,Menu,FRENCH FRIES,HAND CUT FRIES,Cut Fresh Daily & Salted to Perfection,$4.99
Wind Chill Factory,https://www.windchillfactory.com/,FRENCH FRIES,Menu,FRENCH FRIES,CURLY FRIES,Just the Right Amount of Spices,$4.99
Wind Chill Factory,https://www.windchillfactory.com/,FRENCH FRIES,Menu,FRENCH FRIES,SWEET POTATO FRIES,Served w/ Sweet Raspberry Dipping Sauce,$5.99
Wind Chill Factory,https://www.windchillfactory.com/,FRENCH FRIES,Menu,FRENCH FRIES,MICHIGAN CHEESE FRIES,Smothered w/ Cheddar Cheese & Michigan Sauce,$8.99
Wind Chill Factory,https://www.windchillfactory.com/,KID'S MENU (12 & UNDER),Menu,KID'S MENU (12 & UNDER),HOT DOG,Choice of Fries & Small Drink,$8.50
Wind Chill Factory,https://www.windchillfactory.com/,KID'S MENU (12 & UNDER),Menu,KID'S MENU (12 & UNDER),GRILLED CHEESE,Choice of Fries & Small Drink,$8.50
Wind Chill Factory,https://www.windchillfactory.com/,KID'S MENU (12 & UNDER),Menu,KID'S MENU (12 & UNDER),HAMBURGER,Choice of Fries & Small Drink,$9.50
Wind Chill Factory,https://www.windchillfactory.com/,KID'S MENU (12 & UNDER),Menu,KID'S MENU (12 & UNDER),CHICKEN FINGERS,Choice of Fries & Small Drink,$9.50
Wind Chill Factory,https://www.windchillfactory.com/,KID'S MENU (12 & UNDER),Menu,KID'S MENU (12 & UNDER),CHICKEN NUGGETS,Choice of Fries & Small Drink,$9.50
Wind Chill Factory,https://www.windchillfactory.com/,HOT DOGS,Menu,HOT DOGS,HOT DOG,An American Tradition,$3.70
Wind Chill Factory,https://www.windchillfactory.com/,HOT DOGS,Menu,HOT DOGS,MICHIGAN HOT DOG,An Adirondack Favorite,$4.55
Wind Chill Factory,https://www.windchillfactory.com/,HOT DOGS,Menu,HOT DOGS,MICHIGAN CHEESE DOG,Smothered w/ Michigan Sauce & Cheddar Cheese,$4.95
Wind Chill Factory,https://www.windchillfactory.com/,HOT DOGS,Menu,HOT DOGS,SAUERKRAUT HOT DOG,Piled High w/ Kraut and Mustard,$4.55
Wind Chill Factory,https://www.windchillfactory.com/,CHICKEN,Menu,CHICKEN,GRILLED CHICKEN BREAST SANDWICH,"6 oz. Filet Trimmed w/ Lettuce, Tomato, Onion, and Choice of Sauce",$9.95
Wind Chill Factory,https://www.windchillfactory.com/,CHICKEN,Menu,CHICKEN,CRISPY CHICKEN BREAST SANDWICH,"A Large Breaded Filet w/ Lettuce, Tomato, Onion, and Choice of Sauce",$9.95
