restaurant_name,restaurant_url,section,name,description,price
Wishing Well Restaurant,https://www.wishingwellrestaurant.com/,RAW BAR,FRESH SHUCKED OYSTERS,"Cold Water East Coast, cocktail or mignonette, gf",$4.00
Wishing Well Restaurant,https://www.wishingwellrestaurant.com/,RAW BAR,Chilled South American Shrimp,"cocktail sauce, gf",$22.00
Wishing Well Restaurant,https://www.wishingwellrestaurant.com/,RAW BAR,Maryland Colossal Crab,"Russian dressing, gf",$25.00
Wishing Well Restaurant,https://www.wishingwellrestaurant.com/,RAW BAR,Rhode Island Clams,"mignonette sauce, gf",$3.50
Wishing Well Restaurant,https://www.wishingwellrestaurant.com/,RAW BAR,SEAFOOD FOR 2,"4 Shrimp, 4 Clams
4 Oysters, Maryland Crab, House Pickles, Sauce Trio, gf",$59.00
Wishing Well Restaurant,https://www.wishingwellrestaurant.com/,SOUP & SALAD,Baked French Onion Soup,au gratin,$10.00
Wishing Well Restaurant,https://www.wishingwellrestaurant.com/,SOUP & SALAD,Iceberg Wedge Salad,"bacon, crispy onions, tomato vinaigrette, blue cheese",$15.00
Wishing Well Restaurant,https://www.wishingwellrestaurant.com/,SOUP & SALAD,Little Gem With Classic Caesar Dressing,toasted breadcrumbs & Parmigiano Reggiano,16/10
Wishing Well Restaurant,https://www.wishingwellrestaurant.com/,SOUP & SALAD,Soup of The Day,,MP
Wishing Well Restaurant,https://www.wishingwellrestaurant.com/,APPETIZERS,Crispy Shrimp & Crab Cake,spicy aioli,$19.00
Wishing Well Restaurant,https://www.wishingwellrestaurant.com/,APPETIZERS,Chicken Liver Pate,"whole grain mustard, cornichons, pickled onion, crostini",$18.00
Wishing Well Restaurant,https://www.wishingwellrestaurant.com/,APPETIZERS,Crispy Tiny Frog Legs,"garlic butter, veal broth",$17.00
Wishing Well Restaurant,https://www.wishingwellrestaurant.com/,APPETIZERS,Escargot,"garlic butter, parsley",$19.00
Wishing Well Restaurant,https://www.wishingwellrestaurant.com/,APPETIZERS,Cast Iron Skillet Burrata,"charred cherry tomatoes, pesto, mint, toasted baguette",$17.00
Wishing Well Restaurant,https://www.wishingwellrestaurant.com/,APPETIZERS,Steamed Littleneck Clams,"garlic butter, white wine, parsley, lemon, crostini",$21.00
Wishing Well Restaurant,https://www.wishingwellrestaurant.com/,ENTREES,Crab Stuffed Vermont Rainbow Trout,mornay sauce,$39.00
Wishing Well Restaurant,https://www.wishingwellrestaurant.com/,ENTREES,Pan Seared Diver Scallops,"shaved sprouts, farro, spinach, lemon, brown butter",$54.00
Wishing Well Restaurant,https://www.wishingwellrestaurant.com/,ENTREES,Faroe Islands Salmon,"sun dried tomatoes, capers, olives, garlic, crispy spinach, gf",$39.00
Wishing Well Restaurant,https://www.wishingwellrestaurant.com/,ENTREES,Slow Roasted Half Duck,raspberry sauce,$48.00
Wishing Well Restaurant,https://www.wishingwellrestaurant.com/,ENTREES,Veal Chop Parmesan,"house made mozzarella, parmesan, basil, linguine",$54.00
Wishing Well Restaurant,https://www.wishingwellrestaurant.com/,ENTREES,Butternut Squash Cavatelli,"fresh sage, lite cream, shaved aged Parmesan",$35.00
Wishing Well Restaurant,https://www.wishingwellrestaurant.com/,ENTREES,Crispy Chicken Cutlet,"San Marzano tomato sauce, house made mozzarella, linguine with garlic and olive oil",$32.00
Wishing Well Restaurant,https://www.wishingwellrestaurant.com/,STEAKS & CHOPS,8 oz. Center Cut Filet Mignon,"Diane sauce, gf",$55.00
Wishing Well Restaurant,https://www.wishingwellrestaurant.com/,STEAKS & CHOPS,14 oz. USDA Prime Sirloin,au poivre sauce,$59.00
Wishing Well Restaurant,https://www.wishingwellrestaurant.com/,STEAKS & CHOPS,24 Hour Braised Beef Short Rib,"aged parmesan risotto, pickled vegetables, gf",$45.00
Wishing Well Restaurant,https://www.wishingwellrestaurant.com/,STEAKS & CHOPS,14 oz. French Cut Pork Chop,"sweet and sour slaw, walnuts, pickled red onion, gf",$46.00
Wishing Well Restaurant,https://www.wishingwellrestaurant.com/,STEAKS & CHOPS,24 oz. Bone In Delmonico Steak,"cowboy butter, gf",$69.00
Wishing Well Restaurant,https://www.wishingwellrestaurant.com/,STEAKS & CHOPS,14 oz. Herb Crusted New Zealand Rack of Lamb,blackberry demi glace,$56.00
Wishing Well Restaurant,https://www.wishingwellrestaurant.com/,STEAKS & CHOPS,Half Rack of Lamb,,$34.00
Wishing Well Restaurant,https://www.wishingwellrestaurant.com/,Menu,12 oz Australian Lobster Tail,,MP
Wishing Well Restaurant,https://www.wishingwellrestaurant.com/,Menu,SAUCES,"Au Poivre
Hollandaise, gf
Dianne
WW Steak Sauce
Horseradish Cream
Béarnaise",$5.00
Wishing Well Restaurant,https://www.wishingwellrestaurant.com/,SIDES TO SHARE,Sauteed Mushrooms,gf,$10.00
Wishing Well Restaurant,https://www.wishingwellrestaurant.com/,SIDES TO SHARE,Baked Macaroni & Gruyere Cheese,,$14.00
Wishing Well Restaurant,https://www.wishingwellrestaurant.com/,SIDES TO SHARE,Baked Crab Macaroni & Gruyere Cheese,,$24.00
Wishing Well Restaurant,https://www.wishingwellrestaurant.com/,SIDES TO SHARE,Creamed Spinach,"bechamel, parmesan",$12.00
Wishing Well Restaurant,https://www.wishingwellrestaurant.com/,SIDES TO SHARE,Charred Crispy Cabbage,"bacon, sherry vinegar, gf",$12.00
Wishing Well Restaurant,https://www.wishingwellrestaurant.com/,SIDES TO SHARE,Colossal Onion Rings,Ranch dressing,$12.00
Wishing Well Restaurant,https://www.wishingwellrestaurant.com/,White Wines by the Glass,Prosecco,"Zardetto, Veneto, Italy",$14
Wishing Well Restaurant,https://www.wishingwellrestaurant.com/,White Wines by the Glass,Champagne,"Laurent Perrier Brut La Cuvee, NV",$25
Wishing Well Restaurant,https://www.wishingwellrestaurant.com/,White Wines by the Glass,Pinot Grigio,"Tiefenbrunner, Alto Adige, Italy",$13
Wishing Well Restaurant,https://www.wishingwellrestaurant.com/,White Wines by the Glass,Chardonnay,"DeWetshof Limestone Hill, South Africa",$14
Wishing Well Restaurant,https://www.wishingwellrestaurant.com/,White Wines by the Glass,Chardonnay,"Les Sétilles, Olivier Leflaive, Burgundy, France",$18
Wishing Well Restaurant,https://www.wishingwellrestaurant.com/,White Wines by the Glass,Sauvignon Blanc,"Allan Scott, Marlborough, New Zealand",$15
Wishing Well Restaurant,https://www.wishingwellrestaurant.com/,White Wines by the Glass,Rose,"Chateau Gassier, Côtes de Provence, France",$16
Wishing Well Restaurant,https://www.wishingwellrestaurant.com/,White Wines by the Glass,Moscato di Asti,"GD Vajra, DOCG, Barolo, Italy",$15
Wishing Well Restaurant,https://www.wishingwellrestaurant.com/,White Wines by the Glass,Riesling,"Ernie Loosen “Dr. L, ” Mosel, Germany",$14
Wishing Well Restaurant,https://www.wishingwellrestaurant.com/,White Wines by the Glass,Bin #117 Trefethen Estate Chardonnay 2022,"Napa Valley, Ca.",Glass $18 | Bottle $72
Wishing Well Restaurant,https://www.wishingwellrestaurant.com/,Red Wines by the Glass,Malbec,"Catena Vista Flores, Mendoza, Argentina",$14
Wishing Well Restaurant,https://www.wishingwellrestaurant.com/,Red Wines by the Glass,Sangiovese,"Badia a Coltibuono, Chianti Classico, DOCG, Italy",$17
Wishing Well Restaurant,https://www.wishingwellrestaurant.com/,Red Wines by the Glass,Cabernet Sauvignon,"Greenwing, Columbia Valley, Washington",$15
Wishing Well Restaurant,https://www.wishingwellrestaurant.com/,Red Wines by the Glass,Pinot Noir,"Argyle, Willamette Valley, Oregon",$17
Wishing Well Restaurant,https://www.wishingwellrestaurant.com/,Red Wines by the Glass,Bin #465 Trefethen Cabernet Sauvignon 2021,"Oak Knoll District, Napa Valley, Ca.",Glass $21 | Bottle $84
Wishing Well Restaurant,https://www.wishingwellrestaurant.com/,Red Wines by the Glass,Bin #469 Trefethen Eshcol Red 2022,"Oak Knoll District, Napa Valley, Ca.",Glass $16 | Bottle $64
Wishing Well Restaurant,https://www.wishingwellrestaurant.com/,Champagne & Sparkling Wines,101Dom Perignon,"Champagne, 2013, France",$475
Wishing Well Restaurant,https://www.wishingwellrestaurant.com/,Champagne & Sparkling Wines,103Les Mesnil,"Grand Cru, Blanc de Blancs, NV, Champagne, France",$100
Wishing Well Restaurant,https://www.wishingwellrestaurant.com/,Champagne & Sparkling Wines,105Patrick Bottex Bugey Cerdon La Cueille,"NV, Savoie, France",$60
Wishing Well Restaurant,https://www.wishingwellrestaurant.com/,Champagne & Sparkling Wines,100Veuve Clicquot Rose,"NV, Champagne, France",$140
Wishing Well Restaurant,https://www.wishingwellrestaurant.com/,Champagne & Sparkling Wines,104Fidora NV Tenuta Civranetta Brut Biodynamic Glera Prosecco,"Veneto, Italy",$75
Wishing Well Restaurant,https://www.wishingwellrestaurant.com/,Champagne & Sparkling Wines,108Zardetto Prosecco,"Brut, DOC, Italy",$50
Wishing Well Restaurant,https://www.wishingwellrestaurant.com/,Champagne & Sparkling Wines,109Pommery Brut Apanage,"NV, Champagne, France",$140
Wishing Well Restaurant,https://www.wishingwellrestaurant.com/,Pinot Gris / Pinot Grigio,161Alois Lageder Pinot Grigio,"Dolomiti, 2023, Italy",$61
Wishing Well Restaurant,https://www.wishingwellrestaurant.com/,Pinot Gris / Pinot Grigio,150J. Hofstätter Weissburgunder Pinot Bianco,"Alto Adige, 2023, Italy",$65
Wishing Well Restaurant,https://www.wishingwellrestaurant.com/,Pinot Gris / Pinot Grigio,164Alois Lageder Terra Alpina Pinot Bianco,"Dolomites, 2022, Italy",$68
Wishing Well Restaurant,https://www.wishingwellrestaurant.com/,Pinot Gris / Pinot Grigio,160Santa Margherita Pinot Grigio,"Sudtirol – Alto Adige, 2023, Italy",$70
Wishing Well Restaurant,https://www.wishingwellrestaurant.com/,Chardonnay,120Scar of the Sea Chardonnay,"SLO Coast, 2020, California",$77
Wishing Well Restaurant,https://www.wishingwellrestaurant.com/,Chardonnay,119Matthiasson Chardonnay,"Linda Vista Vineyard, Napa Valley, 2021., Ca.",$85
Wishing Well Restaurant,https://www.wishingwellrestaurant.com/,Chardonnay,128Jordan Chardonnay,"Russian River Valley, Sonoma, 2022, California",$90
Wishing Well Restaurant,https://www.wishingwellrestaurant.com/,Chardonnay,118Peay Estate Chardonnay,"Sonoma Coast, 2018, California",$93
Wishing Well Restaurant,https://www.wishingwellrestaurant.com/,Chardonnay,127Kistler “Les Noisetiers” Sonoma Coast Chardonnay,"2023, California",$125
Wishing Well Restaurant,https://www.wishingwellrestaurant.com/,Chardonnay,111Sea Smoke Estate Chardonnay,"Sta. Rita Hills, 2021, California",$155
Wishing Well Restaurant,https://www.wishingwellrestaurant.com/,Chardonnay,198DuMol “Chloe” Chardonnay,"Sonoma Coast, 2020, California",$155
Wishing Well Restaurant,https://www.wishingwellrestaurant.com/,Chardonnay,173Hudson Estate Chardonnay,"Carneros, 2021, California",$160
Wishing Well Restaurant,https://www.wishingwellrestaurant.com/,Chardonnay,180Angela Vineyards Chardonnay,"Willamette Valley, 2019, Oregon",$80
Wishing Well Restaurant,https://www.wishingwellrestaurant.com/,Chardonnay,Bin #11600 Wines “VGW” Willamette Valley Chardonnay,"2021, Oregon",$140
Wishing Well Restaurant,https://www.wishingwellrestaurant.com/,Chardonnay,112Domaine Balland Curtant,"Bourgogne Cote D’Or, Les Buees, 2020, Burgundy",$70
Wishing Well Restaurant,https://www.wishingwellrestaurant.com/,Chardonnay,151Domaine Laroche Chablis,"Saint Martin, 2022, Burgundy",$74
Wishing Well Restaurant,https://www.wishingwellrestaurant.com/,Chardonnay,106Joseph Drouhin Pouilly-Vinzelles 2021,"Burgundy, France",$77
Wishing Well Restaurant,https://www.wishingwellrestaurant.com/,Chardonnay,185Domaine Bernard Defaix Chablis,"1er Cru, 2022",$95
Wishing Well Restaurant,https://www.wishingwellrestaurant.com/,Chardonnay,199Domaine Maratray Dubreuil Pernand-Vergelesses,"20022, Burgundy",$110
Wishing Well Restaurant,https://www.wishingwellrestaurant.com/,Chardonnay,152Les Héritiers du Comte Lafon Mâcon Milly-Lamartine,"2023, Burgundy",$90
Wishing Well Restaurant,https://www.wishingwellrestaurant.com/,Chardonnay,129Domaine Tessier Champ Perrier Bourgogne,"Burgundy, 2021, France",$80
Wishing Well Restaurant,https://www.wishingwellrestaurant.com/,Chardonnay,107Domaine Jean Chartron St. Aubin 1er Cru “Murgers Dents de Chien,” 2022,$125
Wishing Well Restaurant,https://www.wishingwellrestaurant.com/,Chardonnay,114Domaine Maratray Dubreuil Ladoix,"1er Cru, En Naget, 2022, Burgundy",$115
Wishing Well Restaurant,https://www.wishingwellrestaurant.com/,Chardonnay,175Joseph Drouhin Meursault,"Burgundy, 2022, France",$165
Wishing Well Restaurant,https://www.wishingwellrestaurant.com/,Sauvignon Blanc / Chenin Blanc,110Kunin Wines “Jurassic Park” Chenin Blanc,"Santa Ynez, 2021, Ca.",$75
Wishing Well Restaurant,https://www.wishingwellrestaurant.com/,Sauvignon Blanc / Chenin Blanc,186Blackbird Vineyards Dissonance Sauvignon Blanc,"2021, Sonoma, Ca.",$80
Wishing Well Restaurant,https://www.wishingwellrestaurant.com/,Sauvignon Blanc / Chenin Blanc,163DuMol Chenin Blanc,"Sonoma Coast, 2023, California",$135
Wishing Well Restaurant,https://www.wishingwellrestaurant.com/,Sauvignon Blanc / Chenin Blanc,143Allan Scott Sauvignon Blanc,"Marlborough, 2023, New Zealand",$65
Wishing Well Restaurant,https://www.wishingwellrestaurant.com/,Sauvignon Blanc / Chenin Blanc,134Cantina Tramin,"Stoan, Alto Adige/Südtirol, 2021, Italy",$80
Wishing Well Restaurant,https://www.wishingwellrestaurant.com/,Sauvignon Blanc / Chenin Blanc,135Domaine Hippolyte Reverdy Sancerre,"Loire, 2023, France",$90
Wishing Well Restaurant,https://www.wishingwellrestaurant.com/,Sauvignon Blanc / Chenin Blanc,197Quivira Sauvignon Blanc,"Dry Creek Valley, 2022, Sonoma, California",$62
Wishing Well Restaurant,https://www.wishingwellrestaurant.com/,Riesling,141Ernie Loosen “Dr. L” Riesling,"Mosel, 2020, Germany",$53
Wishing Well Restaurant,https://www.wishingwellrestaurant.com/,Riesling,140Forge Cellars Riesling,"Dry Classique, 2021, Seneca Lake, NY",$65
Wishing Well Restaurant,https://www.wishingwellrestaurant.com/,Riesling,142Rudi Pichler Riesling Terrassen,"Wachau, 2023, Germany",$73
Wishing Well Restaurant,https://www.wishingwellrestaurant.com/,Interesting Whites from Around the World,170Matthiasson Tendu,"2014, California 1L",$53
Wishing Well Restaurant,https://www.wishingwellrestaurant.com/,Interesting Whites from Around the World,179Barden Fonte,"by Margerum, Sta. Rita Hills, 2014, California",$60
Wishing Well Restaurant,https://www.wishingwellrestaurant.com/,Interesting Whites from Around the World,162Chateau Haut Selve,"Graves, Bordeaux, 2023, France",$65
Wishing Well Restaurant,https://www.wishingwellrestaurant.com/,Interesting Whites from Around the World,125Vigneti a Prua,"Riviera Ligure di Ponente Vermentino Di Albenga, 2023, Italy",$60
Wishing Well Restaurant,https://www.wishingwellrestaurant.com/,Interesting Whites from Around the World,113Tasca D’almerita Whitaker Grillo,"Mozia, Sicily, 2023, Italy",$73
Wishing Well Restaurant,https://www.wishingwellrestaurant.com/,Rosé,184Chateau Gassier,"Côtes de Provence, 2022, France",$67
Wishing Well Restaurant,https://www.wishingwellrestaurant.com/,Rosé,183Zenato Chiaretto Bardolino,"DOC, Veneto, 2023, Italy",$60
Wishing Well Restaurant,https://www.wishingwellrestaurant.com/,Pinot Noir / Gamay,200Scar of The Sea Gamay,"Topotero Vineyard, San Luis Obispo, 2022, Ca.",$69
Wishing Well Restaurant,https://www.wishingwellrestaurant.com/,Pinot Noir / Gamay,508Vignerons Pinot Noir,"Santa Lucia Highlands, 2019, California",$70
Wishing Well Restaurant,https://www.wishingwellrestaurant.com/,Pinot Noir / Gamay,408Scar of the Sea Pinot Noir,"Los Ranchos, Santa Maria Valley, 2022, Ca.",$85
Wishing Well Restaurant,https://www.wishingwellrestaurant.com/,Pinot Noir / Gamay,217Lady Of The Sunshine Pinot Noir,"Edna Valley, SLO, 2023, California",$90
Wishing Well Restaurant,https://www.wishingwellrestaurant.com/,Pinot Noir / Gamay,310B. Kosuge Pinot Noir,"Sonoma Coast, 2021, California",$90
Wishing Well Restaurant,https://www.wishingwellrestaurant.com/,Pinot Noir / Gamay,322Foxen Pinot Noir,"John Sebastiano Vineyard, Sta. Rita Hills, 2019, Ca.",$95
Wishing Well Restaurant,https://www.wishingwellrestaurant.com/,Pinot Noir / Gamay,308Raen “Royal St. Robert” Pinot Noir,"Sonoma Coast, 2023, California",$105
